E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26	E27	E28	E29	E30	E31	E32	E33	E34	E35	E36	E37	E38	E39	E40	E41	E42	E43	E44	E45	E46	E47	E48	E49	E50	E51	E52	E53	E54	E55	E56	E57	E58	E59	E60	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	EQ	SQ	accuracy	gender	age
1	3	3	2	1	2	1	2	3	3	4	3	1	1	1	3	2	2	1	1	2	3	4	3	1	3	1	4	1	4	2	1	1	2	3	3	1	4	4	2	2	3	3	4	4	4	3	2	1	2	4	2	2	3	2	3	4	3	3	3	1	3	3	2	1	2	1	2	3	3	4	3	1	1	1	3	2	2	1	1	2	3	4	3	1	3	1	4	1	4	2	1	1	2	3	3	1	4	4	2	2	3	3	4	4	4	3	2	1	2	4	2	2	3	2	3	4	3	3	3	23	10	75	2	25
2	2	3	2	2	3	2	3	3	2	3	2	2	2	2	2	3	2	2	2	2	3	3	2	2	3	2	3	2	3	3	2	2	2	3	2	2	3	2	3	2	3	3	3	3	3	3	2	2	3	3	2	2	2	2	3	3	3	3	2	2	2	3	2	2	3	2	3	3	2	3	2	2	2	2	2	3	2	2	2	2	3	3	2	2	3	2	3	2	3	3	2	2	2	3	2	2	3	2	3	2	3	3	3	3	3	3	2	2	3	3	2	2	2	2	3	3	3	3	2	34	7	90	2	23
3	1	3	3	0	3	3	3	2	3	2	2	2	2	4	2	3	2	3	1	2	3	3	2	2	2	4	3	3	3	2	1	4	1	3	3	2	3	3	3	2	4	2	4	4	2	3	2	2	4	4	2	2	3	1	3	3	4	2	4	3	1	3	3	0	3	3	3	2	3	2	2	2	2	4	2	3	2	3	1	2	3	3	2	2	2	4	3	3	3	2	1	4	1	3	3	2	3	3	3	2	4	2	4	4	2	3	2	2	4	4	2	2	3	1	3	3	4	2	4	21	21	80	1	41
2	2	2	1	2	3	3	3	1	3	3	3	2	2	1	4	4	1	3	3	3	2	4	1	3	2	2	4	1	3	3	1	3	2	1	2	2	3	2	3	2	4	1	4	4	2	2	1	3	2	4	3	3	3	3	3	3	4	3	2	2	2	2	1	2	3	3	3	1	3	3	3	2	2	1	4	4	1	3	3	3	2	4	1	3	2	2	4	1	3	3	1	3	2	1	2	2	3	2	3	2	4	1	4	4	2	2	1	3	2	4	3	3	3	3	3	3	4	3	2	38	23	95	2	32
4	1	3	4	3	3	1	4	1	1	2	1	4	4	4	2	4	4	4	4	1	3	4	1	2	1	1	2	4	4	2	1	4	2	2	4	4	4	1	2	4	4	1	4	3	4	3	2	4	4	1	2	2	4	3	1	1	3	4	3	4	1	3	4	3	3	1	4	1	1	2	1	4	4	4	2	4	4	4	4	1	3	4	1	2	1	1	2	4	4	2	1	4	2	2	4	4	4	1	2	4	4	1	4	3	4	3	2	4	4	1	2	2	4	3	1	1	3	4	3	35	49	99	1	20
3	3	2	1	1	4	1	4	2	4	2	1	3	1	4	4	2	2	1	2	3	4	4	4	2	4	2	3	1	4	4	4	2	3	2	4	4	4	4	3	2	3	3	4	4	4	2	3	1	2	3	4	1	4	2	3	3	4	4	4	3	3	2	1	1	4	1	4	2	4	2	1	3	1	4	4	2	2	1	2	3	4	4	4	2	4	2	3	1	4	4	4	2	3	2	4	4	4	4	3	2	3	3	4	4	4	2	3	1	2	3	4	1	4	2	3	3	4	4	4	37	17	90	2	19
4	1	2	3	4	4	2	3	1	1	1	1	3	3	4	4	3	1	1	4	4	3	2	1	4	3	2	1	4	4	1	2	4	4	1	2	2	1	4	1	2	1	1	4	1	3	3	1	4	3	3	3	1	3	2	1	1	4	3	4	4	1	2	3	4	4	2	3	1	1	1	1	3	3	4	4	3	1	1	4	4	3	2	1	4	3	2	1	4	4	1	2	4	4	1	2	2	1	4	1	2	1	1	4	1	3	3	1	4	3	3	3	1	3	2	1	1	4	3	4	27	52	90	1	32
3	2	4	2	3	1	2	3	3	3	2	3	4	3	4	2	2	2	4	3	2	2	1	1	4	1	3	1	4	2	2	2	3	3	2	2	3	1	2	3	2	4	3	2	1	4	2	4	1	3	3	2	2	2	3	2	1	4	4	2	3	2	4	2	3	1	2	3	3	3	2	3	4	3	4	2	2	2	4	3	2	2	1	1	4	1	3	1	4	2	2	2	3	3	2	2	3	1	2	3	2	4	3	2	1	4	2	4	1	3	3	2	2	2	3	2	1	4	4	2	32	42	97	2	20
4	1	3	2	3	3	3	3	2	2	2	4	4	1	2	4	4	1	3	3	2	4	1	1	1	2	3	1	3	4	2	1	3	4	2	1	2	2	2	1	3	3	3	4	2	1	2	2	3	2	1	3	4	3	1	1	1	1	2	2	4	1	3	2	3	3	3	3	2	2	2	4	4	1	2	4	4	1	3	3	2	4	1	1	1	2	3	1	3	4	2	1	3	4	2	1	2	2	2	1	3	3	3	4	2	1	2	2	3	2	1	3	4	3	1	1	1	1	2	2	8	45	70	3	18
2	1	3	2	2	3	1	2	4	3	1	3	2	2	3	3	3	3	2	3	1	4	2	3	1	3	2	3	1	4	4	1	2	1	3	4	1	2	3	3	3	1	2	4	2	4	2	2	1	3	3	4	2	3	3	2	2	4	4	3	2	1	3	2	2	3	1	2	4	3	1	3	2	2	3	3	3	3	2	3	1	4	2	3	1	3	2	3	1	4	4	1	2	1	3	4	1	2	3	3	3	1	2	4	2	4	2	2	1	3	3	4	2	3	3	2	2	4	4	3	29	18	70	2	45
2	1	3	3	2	2	2	4	3	1	1	2	3	2	2	3	4	3	2	4	3	3	3	1	3	4	4	4	2	2	3	2	2	3	2	2	2	2	4	1	2	4	3	3	4	4	2	1	2	3	2	2	2	2	2	3	3	4	1	3	2	1	3	3	2	2	2	4	3	1	1	2	3	2	2	3	4	3	2	4	3	3	3	1	3	4	4	4	2	2	3	2	2	3	2	2	2	2	4	1	2	4	3	3	4	4	2	1	2	3	2	2	2	2	2	3	3	4	1	3	36	19	80	1	20
3	3	2	3	2	2	2	2	1	1	3	2	4	2	1	3	2	1	2	3	3	3	3	1	2	2	3	4	1	3	2	2	3	2	2	3	2	2	3	2	2	3	1	3	3	4	1	1	1	3	3	3	3	1	3	1	2	3	3	2	3	3	2	3	2	2	2	2	1	1	3	2	4	2	1	3	2	1	2	3	3	3	3	1	2	2	3	4	1	3	2	2	3	2	2	3	2	2	3	2	2	3	1	3	3	4	1	1	1	3	3	3	3	1	3	1	2	3	3	2	65	28	85	2	25
4	1	2	3	2	1	2	1	2	3	3	1	3	2	2	2	2	1	4	3	2	3	2	1	2	1	1	1	2	3	2	1	3	4	2	2	3	2	3	2	2	1	2	3	3	4	4	3	3	4	2	1	4	1	3	3	2	4	3	1	4	1	2	3	2	1	2	1	2	3	3	1	3	2	2	2	2	1	4	3	2	3	2	1	2	1	1	1	2	3	2	1	3	4	2	2	3	2	3	2	2	1	2	3	3	4	4	3	3	4	2	1	4	1	3	3	2	4	3	1	46	42	70	2	21
4	1	3	2	4	2	4	2	3	3	4	2	4	3	4	4	2	1	4	4	2	4	2	1	1	1	2	3	2	4	2	1	4	3	2	4	4	3	1	2	3	1	1	4	1	4	1	4	4	2	1	3	4	2	4	2	1	4	3	1	4	1	3	2	4	2	4	2	3	3	4	2	4	3	4	4	2	1	4	4	2	4	2	1	1	1	2	3	2	4	2	1	4	3	2	4	4	3	1	2	3	1	1	4	1	4	1	4	4	2	1	3	4	2	4	2	1	4	3	1	48	57	75	1	45
3	1	2	2	1	3	2	2	3	1	1	2	1	2	3	2	3	2	3	4	1	3	3	3	2	2	1	4	1	2	3	4	1	3	2	3	1	4	1	3	2	1	3	3	4	4	2	1	2	2	2	3	1	1	2	3	2	4	3	4	3	1	2	2	1	3	2	2	3	1	1	2	1	2	3	2	3	2	3	4	1	3	3	3	2	2	1	4	1	2	3	4	1	3	2	3	1	4	1	3	2	1	3	3	4	4	2	1	2	2	2	3	1	1	2	3	2	4	3	4	24	15	90	1	18
4	1	3	2	3	2	2	3	2	3	1	2	3	3	4	3	2	2	2	3	2	2	3	2	2	0	2	3	3	2	2	2	3	3	2	2	3	2	3	2	3	1	3	4	2	3	2	2	3	3	2	2	2	1	3	3	2	3	3	3	4	1	3	2	3	2	2	3	2	3	1	2	3	3	4	3	2	2	2	3	2	2	3	2	2	0	2	3	3	2	2	2	3	3	2	2	3	2	3	2	3	1	3	4	2	3	2	2	3	3	2	2	2	1	3	3	2	3	3	3	33	30	70	1	47
4	2	2	2	4	1	4	1	1	1	2	1	4	4	2	1	2	1	2	4	1	3	1	1	2	1	4	4	1	3	1	1	4	3	3	4	4	3	4	3	3	2	1	4	2	3	1	2	4	1	1	1	3	3	4	1	1	3	3	3	4	2	2	2	4	1	4	1	1	1	2	1	4	4	2	1	2	1	2	4	1	3	1	1	2	1	4	4	1	3	1	1	4	3	3	4	4	3	4	3	3	2	1	4	2	3	1	2	4	1	1	1	3	3	4	1	1	3	3	3	32	50	85	1	22
4	1	2	2	4	1	2	2	3	4	1	1	4	4	4	3	2	1	3	4	2	3	3	1	3	1	3	2	3	4	1	2	3	1	2	3	3	1	3	2	3	4	1	4	2	4	1	3	4	3	2	2	4	2	3	3	2	4	4	2	4	1	2	2	4	1	2	2	3	4	1	1	4	4	4	3	2	1	3	4	2	3	3	1	3	1	3	2	3	4	1	2	3	1	2	3	3	1	3	2	3	4	1	4	2	4	1	3	4	3	2	2	4	2	3	3	2	4	4	2	33	52	90	2	42
2	1	3	1	1	4	1	2	1	3	3	2	4	1	1	4	2	3	1	1	1	4	3	1	2	1	4	4	1	3	2	4	1	1	2	3	2	4	4	2	3	4	3	4	4	3	2	1	1	3	4	2	1	4	2	2	3	3	3	4	2	1	3	1	1	4	1	2	1	3	3	2	4	1	1	4	2	3	1	1	1	4	3	1	2	1	4	4	1	3	2	4	1	1	2	3	2	4	4	2	3	4	3	4	4	3	2	1	1	3	4	2	1	4	2	2	3	3	3	4	10	15	85	2	22
2	2	3	2	3	3	2	3	2	4	2	2	2	2	1	3	2	2	3	2	2	3	2	2	2	3	3	3	2	1	2	3	2	2	2	2	1	2	3	2	1	3	2	2	2	3	2	1	3	2	3	2	2	1	2	2	3	3	3	3	2	2	3	2	3	3	2	3	2	4	2	2	2	2	1	3	2	2	3	2	2	3	2	2	2	3	3	3	2	1	2	3	2	2	2	2	1	2	3	2	1	3	2	2	2	3	2	1	3	2	3	2	2	1	2	2	3	3	3	3	46	15	100	1	18
