Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	country
4	2	4	3	1	4	1	3	3	1	1	1	DE
4	3	4	4	3	3	1	4	4	4	4	2	SG
4	1	4	2	3	3	2	2	1	4	4	4	US
1	3	3	4	2	3	2	4	1	4	4	2	PT
4	1	4	4	4	3	2	4	4	4	4	2	US
1	1	4	1	1	4	2	2	1	2	4	2	US
3	2	4	2	2	3	4	3	1	2	4	1	SE
3	2	3	2	3	1	4	3	2	1	1	2	IN
4	3	1	1	1	1	2	2	1	1	3	3	AU
1	2	4	2	4	1	2	2	1	1	2	1	US
4	1	3	3	4	3	2	3	2	2	4	1	CH
3	2	4	3	3	2	2	4	3	4	3	4	AU
2	2	4	4	2	4	4	3	4	4	4	4	GB
4	3	1	4	2	3	2	4	1	2	2	2	CA
2	2	4	2	2	2	1	2	4	2	4	2	ES
1	1	4	1	4	4	2	4	4	2	4	2	RS
3	3	1	4	3	4	2	4	3	4	4	3	GB
3	1	4	1	3	1	4	2	3	4	3	3	US
1	4	1	4	4	1	4	3	1	2	1	1	LU
1	3	3	4	2	3	2	4	1	4	4	2	PT
3	1	4	1	4	3	4	3	4	2	2	2	GB
4	2	4	4	2	3	2	4	1	1	4	2	US
4	1	3	1	4	3	3	2	3	2	3	4	US
1	1	3	4	1	1	1	3	3	3	4	4	AT
3	4	4	3	3	1	4	3	2	1	3	4	US
1	3	1	3	3	4	1	4	1	3	3	2	US
4	2	4	2	1	1	2	3	1	4	2	2	SE
1	4	1	1	2	1	4	2	1	4	4	2	AU
3	3	4	2	3	4	2	3	1	2	3	1	US
2	2	4	4	4	4	2	4	4	4	2	2	AU
4	3	3	1	3	2	2	4	3	1	2	2	PL
2	2	4	4	2	4	4	3	4	4	4	4	GB
4	2	4	2	2	2	1	2	4	2	4	2	ES
4	4	3	2	1	3	2	2	1	2	1	4	US
4	3	1	4	2	2	4	4	3	4	4	2	US
1	4	1	3	1	1	1	3	1	2	1	3	US
3	4	2	3	1	1	1	1	1	1	1	1	SG
1	1	4	1	4	2	2	2	1	1	2	2	JE
3	2	1	2	3	1	4	3	2	1	1	2	IN
3	3	1	3	3	1	1	1	1	3	3	3	US
1	3	4	1	2	1	4	4	4	2	2	2	US
1	3	1	1	3	1	2	1	1	2	1	1	US
1	3	2	2	2	1	1	1	1	4	1	2	EG
3	4	1	3	1	1	1	3	4	2	1	1	ID
2	1	4	2	2	4	3	4	4	2	4	2	PY
1	2	2	2	4	4	2	2	3	4	4	4	US
1	2	4	2	1	3	2	1	1	1	1	1	US
4	1	4	2	3	3	2	2	1	4	4	4	US
3	3	4	2	3	3	4	3	1	3	3	3	US
1	1	3	3	1	3	4	1	1	4	1	1	SI
4	1	4	2	2	4	4	4	4	1	3	2	GB
1	2	4	2	1	2	1	1	1	1	1	1	GB
1	3	1	3	1	2	2	1	1	3	1	1	GB
3	4	4	2	4	1	1	1	1	4	3	4	FR
4	1	4	1	3	3	2	2	1	4	4	4	US
1	1	1	1	2	1	4	2	1	1	1	2	ID
2	2	2	2	2	2	2	2	4	3	2	1	SE
4	3	1	4	2	3	2	2	2	1	1	2	GB
4	2	4	2	2	4	4	4	1	4	4	1	EE
1	4	4	4	1	1	4	1	1	2	1	2	GB
1	2	4	1	4	3	1	1	1	1	3	3	SA
2	1	1	2	2	1	2	3	2	2	1	1	GB
3	3	4	2	2	2	4	3	4	2	1	2	CA
1	2	3	2	2	2	1	4	2	3	3	1	US
1	2	3	2	1	3	4	3	4	2	1	1	IN
3	2	4	3	1	3	2	3	1	1	3	4	US
1	4	4	2	4	1	1	1	1	4	3	3	FR
2	2	4	1	2	3	2	2	2	2	2	2	MY
1	3	1	3	2	3	4	3	4	4	4	3	GB
1	3	1	2	1	1	1	1	1	3	1	1	US
3	3	3	4	2	4	2	3	4	1	1	1	US
1	2	4	4	3	4	2	4	1	3	3	4	US
4	2	3	2	2	3	2	4	3	4	4	4	GB
1	3	1	3	1	3	1	1	1	3	1	1	CA
2	2	3	2	2	3	2	2	1	2	3	2	RO
2	1	4	1	2	1	2	1	4	1	4	2	SI
4	1	4	2	3	4	2	2	3	4	4	2	US
3	4	2	3	1	4	2	1	3	4	3	1	AU
1	3	3	2	2	4	4	4	1	2	2	2	US
4	3	1	3	3	3	2	4	3	2	3	3	US
3	1	3	3	3	2	2	4	4	2	3	3	GB
4	2	4	4	2	4	2	2	4	2	4	1	DE
1	3	1	4	4	2	4	3	1	3	3	3	ID
1	1	1	2	2	1	4	3	1	2	2	2	GB
3	3	3	2	1	1	2	3	1	4	2	2	US
2	3	3	1	2	2	2	2	3	2	2	1	GB
2	2	4	3	4	4	4	2	1	4	4	1	US
1	2	4	3	2	2	2	1	1	3	3	3	US
4	2	4	4	2	4	2	2	4	2	4	1	DE
2	2	2	4	1	3	2	1	1	2	1	3	GB
4	4	3	4	2	4	2	3	1	2	1	2	IN
4	3	4	1	3	4	2	4	3	4	2	4	US
3	4	4	4	3	4	3	4	3	2	3	3	GB
4	2	4	4	2	4	2	2	4	2	4	1	DE
2	4	3	2	2	4	4	4	4	2	3	2	IE
2	1	1	2	4	2	2	1	1	2	1	2	AU
1	1	1	2	3	2	2	2	1	3	3	1	US
3	3	3	1	1	1	4	1	1	2	1	1	IN
1	3	1	3	1	3	4	1	2	1	1	3	CA
1	3	4	1	4	1	2	1	4	1	1	2	AE
4	3	4	4	3	4	2	4	3	4	1	4	PL
1	1	4	1	4	3	4	3	1	2	3	1	GB
4	1	4	2	4	3	3	4	4	4	4	4	US
4	1	1	4	2	3	2	1	4	3	3	3	US
3	4	4	3	3	4	3	4	3	2	3	3	GB
3	1	4	3	2	3	3	2	3	1	1	3	FR
3	3	4	3	3	4	3	1	3	4	1	2	MX
4	4	4	3	3	2	4	2	3	4	4	1	FI
3	3	1	4	4	1	4	4	1	4	3	3	GB
1	2	4	2	2	1	2	1	1	3	1	3	GB
1	2	2	2	4	1	2	2	1	2	2	2	US
2	2	4	4	2	3	3	1	1	2	2	2	US
4	4	4	3	3	3	4	3	3	4	4	4	US
1	3	4	1	2	4	2	3	1	4	4	2	US
1	3	3	3	3	1	1	2	1	3	3	3	US
3	3	3	1	3	3	3	2	3	4	2	3	US
4	3	4	4	3	4	2	4	3	4	1	4	PL
1	2	1	1	1	1	2	1	1	1	1	1	IE
3	3	2	4	4	2	4	3	4	1	4	3	IE
2	3	2	1	4	2	2	2	2	2	2	2	EE
1	1	1	4	1	2	2	1	1	3	1	1	US
1	2	1	3	3	3	2	4	1	3	2	3	GB
1	2	2	1	1	1	2	3	4	2	1	1	MA
3	3	4	3	1	1	3	3	3	2	1	1	US
2	3	2	1	4	3	3	2	4	4	3	4	US
4	2	4	4	3	3	4	4	3	4	3	3	GB
4	2	4	4	2	3	2	4	1	1	4	2	US
4	1	1	1	2	3	2	4	4	4	2	4	IE
3	4	3	4	4	3	4	3	1	1	3	1	TT
4	1	1	2	2	4	2	2	4	2	2	2	LV
3	2	3	2	2	3	3	3	1	1	1	1	US
4	2	4	4	2	4	2	2	4	2	4	1	DE
1	2	3	1	4	4	2	2	1	4	4	1	US
1	2	4	2	2	1	2	1	1	3	1	3	GB
4	3	4	3	3	4	2	4	4	4	4	2	US
3	2	3	1	1	1	2	1	4	2	3	2	US
1	3	3	1	3	3	2	3	3	2	2	1	IN
1	2	1	3	3	3	2	4	1	3	2	3	GB
4	1	4	2	2	3	4	3	3	2	4	4	CA
1	2	3	2	1	1	4	1	1	3	1	1	CA
3	1	4	2	2	4	2	2	3	2	2	1	SI
1	2	4	2	2	3	2	3	2	2	2	1	RO
2	2	4	2	4	1	4	2	2	4	3	1	CA
1	2	4	1	4	2	2	2	4	4	4	2	US
1	4	1	1	4	4	4	4	1	1	1	2	GB
3	1	2	2	4	1	2	3	4	2	2	4	US
1	2	4	2	2	1	2	1	1	3	1	3	GB
1	3	1	1	4	1	2	1	1	2	1	1	SE
1	1	1	2	4	1	2	3	4	2	4	2	GR
1	3	1	1	4	1	4	1	1	4	1	2	US
1	1	1	2	2	1	2	2	4	2	3	2	US
1	3	1	2	1	3	4	3	1	3	1	3	GB
1	2	4	3	3	3	4	2	1	4	1	3	US
1	2	4	2	2	1	2	1	1	3	1	3	GB
1	4	4	3	2	3	4	1	1	3	1	3	MA
1	2	1	3	3	3	2	4	1	3	2	3	GB
1	1	1	1	4	3	1	1	1	2	2	1	GB
4	1	4	1	2	3	4	3	4	2	4	4	CA
2	1	2	2	2	1	1	1	1	2	3	1	US
4	3	1	4	1	1	4	3	4	3	3	3	NL
4	3	4	4	2	4	3	4	4	2	4	2	GR
4	4	4	4	3	4	4	4	4	4	4	4	US
1	1	1	3	3	2	2	1	1	1	1	3	MY
4	1	4	2	2	3	4	3	3	2	4	4	CA
1	2	1	1	1	1	2	1	1	1	1	4	US
4	4	4	4	2	4	4	4	3	4	4	4	US
3	4	1	3	1	3	4	3	1	3	3	3	IN
1	3	1	1	1	1	4	1	1	3	1	3	GB
4	3	1	1	4	1	2	1	1	3	4	2	NO
2	1	2	4	2	3	3	2	3	4	4	3	GB
4	4	4	4	3	4	4	4	3	4	4	3	NL
4	2	4	4	2	4	2	2	4	2	4	1	DE
4	1	4	2	2	4	2	4	4	4	2	2	BE
3	2	2	3	3	4	3	3	1	2	3	3	AG
2	1	3	1	3	4	3	2	4	4	2	3	GB
3	4	2	4	3	3	4	3	3	4	4	3	GB
3	2	3	4	3	4	3	4	1	2	3	1	MY
1	1	1	1	4	2	2	1	4	2	2	2	US
2	1	1	2	2	4	4	4	1	2	2	1	GB
3	3	2	2	4	3	4	1	1	1	3	1	GB
1	1	3	2	1	1	2	2	1	2	4	1	CA
4	4	4	4	3	4	4	4	3	4	4	3	NL
1	3	2	1	1	2	2	1	4	4	1	1	ZA
4	2	3	4	2	4	2	4	4	4	4	4	GB
4	2	4	2	2	4	2	2	4	2	4	1	PH
2	3	4	1	4	3	4	2	4	2	1	3	US
3	2	1	3	3	2	3	2	1	2	3	3	US
2	2	4	3	4	4	2	4	4	2	4	1	MA
4	1	3	3	2	1	4	3	2	2	4	1	US
4	3	3	3	4	1	3	3	4	3	4	4	DE
1	3	1	1	2	1	2	1	1	2	1	1	US
3	2	4	3	3	3	3	4	3	2	3	4	GB
3	1	3	3	1	3	3	1	3	1	1	1	GB
1	2	1	3	1	3	4	1	1	4	2	3	GB
4	3	1	4	4	3	2	3	4	2	4	1	US
1	1	4	1	2	4	2	4	3	4	4	2	US
3	2	2	2	3	1	4	2	1	3	1	3	GB
3	2	4	1	2	3	2	4	4	2	3	2	US
1	3	2	1	1	2	2	1	1	1	1	1	ZA
1	2	3	3	3	2	2	2	2	1	1	1	US
1	3	2	2	1	3	1	1	1	2	1	2	US
4	3	4	4	3	4	3	4	3	2	4	2	GB
4	3	1	4	4	1	2	2	4	2	3	1	US
2	1	4	2	2	4	2	2	1	1	3	2	US
1	1	4	4	2	2	4	4	1	4	3	2	GB
4	3	4	2	2	1	4	4	1	1	4	4	VN
3	1	2	4	2	3	1	3	4	1	3	1	US
1	2	3	4	1	3	1	4	1	2	1	1	US
1	1	4	2	2	4	4	2	1	4	2	2	US
3	3	3	3	4	2	1	1	1	3	4	3	IN
1	4	1	4	3	1	1	1	3	1	4	4	IT
3	1	3	2	1	4	3	3	2	2	1	1	US
4	1	4	2	2	2	4	4	2	2	4	1	IT
3	2	4	4	3	2	3	1	3	1	1	4	US
1	2	4	4	4	3	2	3	4	2	2	1	FR
2	3	2	2	2	2	2	2	4	2	4	2	US
1	1	3	1	1	3	4	4	1	1	3	1	US
4	1	2	4	2	4	2	4	2	4	3	4	US
4	4	2	2	2	4	4	3	4	2	4	4	US
1	3	1	1	2	2	4	2	1	1	1	4	DE
1	2	4	2	2	1	4	4	4	2	3	2	NO
3	1	2	2	2	3	3	4	3	1	1	1	US
1	2	1	1	4	3	2	2	1	2	2	2	IN
1	2	2	3	1	3	2	1	1	4	3	1	US
1	2	4	3	1	1	2	1	1	1	1	1	US
2	1	2	2	2	4	2	3	4	2	4	2	VN
4	1	1	1	4	1	2	2	4	2	4	1	US
1	2	2	2	3	1	4	3	2	2	3	2	US
2	2	4	1	2	2	1	2	4	2	2	3	US
4	1	4	2	4	4	2	4	4	2	3	1	CA
3	3	3	3	3	4	3	3	4	1	1	3	US
1	3	1	4	1	2	1	1	1	1	1	1	US
3	1	3	3	4	4	4	4	4	1	3	1	CA
1	2	4	1	2	3	4	2	1	2	2	1	US
1	3	1	2	1	1	4	1	1	1	1	1	PK
1	1	1	1	4	3	4	3	1	2	1	1	US
2	1	3	1	2	3	2	2	1	1	3	1	US
4	2	1	4	3	4	2	4	4	4	4	4	US
3	2	2	2	2	4	2	2	4	2	2	2	US
1	2	4	1	1	3	1	1	1	3	2	1	US
3	3	2	1	1	2	3	3	1	1	1	1	US
1	1	3	2	2	2	2	2	1	3	2	2	GB
1	1	4	2	2	4	4	2	4	4	2	2	US
3	2	2	1	1	1	2	2	1	2	1	1	CA
1	3	1	3	4	3	2	4	3	2	3	1	GB
4	1	1	1	2	4	2	4	4	4	4	2	IE
1	1	2	4	1	1	3	1	1	3	3	1	IN
2	1	3	1	2	4	2	4	4	2	2	2	PH
3	4	1	4	3	4	4	4	3	2	1	3	US
1	2	4	1	4	4	1	1	2	1	4	4	MA
1	1	3	2	2	1	1	2	1	2	3	2	US
3	3	4	3	4	3	3	4	4	2	3	4	US
3	2	4	3	3	3	2	2	4	4	2	3	US
4	2	2	3	4	4	2	4	3	4	3	2	US
2	1	3	2	1	4	2	2	3	4	3	1	US
4	2	2	2	4	1	2	2	1	2	1	1	US
3	4	1	4	3	4	4	4	3	2	1	3	US
3	1	3	3	4	4	2	3	4	3	3	3	CA
1	4	4	2	2	3	4	1	3	4	4	2	US
4	2	4	3	3	3	2	4	3	2	3	4	US
1	2	1	2	2	2	2	3	1	3	2	1	GB
1	1	4	2	2	4	4	3	4	4	2	2	US
4	3	4	4	4	3	4	2	2	4	4	2	US
1	3	1	3	3	3	4	3	1	3	3	3	US
1	2	3	1	1	3	2	3	1	2	2	3	ES
4	2	4	1	2	4	4	2	4	2	4	2	BR
1	3	1	2	3	4	3	2	1	4	4	3	US
3	4	4	2	3	2	4	1	1	1	1	3	NL
2	2	4	4	3	4	2	4	3	4	4	3	NO
1	1	2	1	2	3	2	1	4	2	1	1	ZA
4	2	4	2	2	2	2	2	1	2	2	2	US
1	4	1	2	1	1	4	1	1	4	4	2	IN
4	1	2	2	2	2	3	1	4	2	4	2	AU
1	3	1	3	1	3	4	1	1	3	1	1	NL
1	2	4	1	2	4	2	4	2	4	3	2	US
4	1	4	3	2	3	4	4	3	2	3	1	PL
1	2	3	3	1	1	1	1	1	1	1	1	DE
4	3	1	3	2	4	4	4	4	4	4	4	PT
1	2	4	1	1	3	3	2	1	3	1	1	US
3	2	1	4	2	2	4	2	1	3	2	2	NO
2	2	4	1	4	4	2	2	1	4	2	2	US
1	3	1	2	1	3	2	1	2	2	1	2	DK
1	4	1	3	4	3	4	2	1	3	3	3	US
1	2	4	2	1	1	1	1	1	1	1	1	NL
2	1	3	1	4	4	3	3	4	1	4	4	US
1	1	1	1	3	1	2	1	1	3	2	1	US
3	2	4	4	3	2	4	4	1	3	4	3	GB
2	4	3	2	2	1	3	3	1	1	3	1	BE
1	4	4	2	2	1	1	2	4	4	4	2	US
3	1	1	4	1	4	2	4	3	4	3	4	NL
4	1	4	4	2	4	3	4	4	4	3	4	BR
1	1	1	2	2	3	2	4	1	4	2	1	IN
1	2	4	3	4	3	4	3	3	4	3	3	US
4	2	4	4	2	4	2	4	4	2	4	2	DK
3	4	3	3	3	2	4	2	4	3	3	1	US
2	2	4	4	1	3	2	3	2	4	3	1	US
3	1	4	1	3	1	4	3	3	1	3	3	GB
3	1	3	2	1	2	2	3	3	4	1	2	GB
4	2	4	2	4	2	2	2	4	4	2	2	BR
3	3	1	4	1	1	1	3	1	1	1	1	PK
2	4	4	2	2	4	1	2	4	4	4	2	GB
2	2	4	4	2	4	2	4	3	2	4	4	US
3	3	4	4	3	2	4	4	3	3	4	3	GB
1	4	1	3	3	3	4	4	1	2	3	3	US
4	1	4	2	2	3	2	3	4	4	3	2	RO
2	3	4	2	1	1	3	1	1	2	1	1	US
4	3	4	4	3	3	1	3	3	4	1	4	US
1	3	2	3	3	3	4	1	1	3	1	4	GB
4	3	4	2	2	2	4	4	4	2	4	2	GB
4	1	4	4	2	4	4	4	4	4	4	1	BR
2	1	4	2	2	2	2	1	4	2	3	1	CA
4	2	4	4	2	4	2	4	4	2	4	2	DK
1	3	1	1	1	1	1	2	4	4	1	4	ES
3	2	2	3	3	3	3	4	1	3	1	3	US
4	1	4	1	2	3	1	2	4	2	4	1	CA
2	2	4	1	2	3	2	3	3	2	2	2	US
1	4	1	4	1	1	1	1	1	1	1	1	NL
4	3	4	4	2	4	4	4	3	2	4	3	US
1	3	1	4	1	4	4	1	1	4	2	4	US
3	2	3	1	4	1	2	1	1	2	1	1	IL
4	3	4	1	4	4	2	2	1	4	2	2	US
1	3	4	4	4	3	1	4	3	4	4	4	US
2	1	1	1	1	1	3	1	4	4	1	1	US
1	3	4	2	1	2	2	3	2	2	3	1	US
1	3	3	2	1	4	3	3	4	1	1	1	ES
1	1	2	2	4	2	3	3	4	2	1	1	US
3	3	1	3	3	1	4	1	1	4	1	3	US
4	3	1	4	4	4	4	4	4	4	4	4	ES
3	4	4	3	3	1	3	2	1	1	1	3	US
2	1	4	1	2	4	2	4	4	2	2	1	IT
4	4	1	1	1	4	1	1	1	2	4	1	SE
1	3	1	4	1	1	1	1	1	1	1	1	IN
1	2	2	1	1	1	2	3	1	2	1	2	IT
2	3	1	2	4	1	2	3	4	2	2	1	GB
2	3	1	1	1	1	2	2	4	2	1	1	US
4	3	1	4	3	4	3	4	4	4	4	2	US
3	3	2	4	4	4	1	2	4	4	2	2	ES
3	2	1	3	3	1	2	1	1	3	3	3	BR
1	1	4	4	2	4	2	4	4	4	2	1	BA
1	3	1	4	4	1	1	4	1	3	4	4	ES
2	4	4	1	2	4	4	4	4	4	2	2	IE
4	3	2	4	3	4	1	2	4	3	4	2	FR
3	4	4	1	4	3	2	2	4	1	3	4	GB
3	1	3	3	4	4	4	3	4	2	3	3	GB
4	4	4	4	2	4	2	4	4	4	4	2	US
1	2	4	2	1	1	1	1	1	2	2	1	US
3	3	3	3	3	3	4	2	1	1	3	3	US
4	1	4	1	4	2	2	4	1	2	2	2	US
1	4	4	3	1	1	4	1	1	1	1	3	US
2	2	2	1	2	4	2	2	4	4	3	1	US
4	1	4	4	2	4	4	4	4	4	4	2	US
2	1	4	2	2	4	2	2	4	2	2	2	ZA
1	2	2	2	2	2	4	1	1	4	3	2	US
3	1	2	1	2	2	2	3	4	2	3	4	US
1	3	1	1	1	3	1	1	1	2	1	3	DE
2	4	4	2	2	1	1	4	4	2	4	2	NL
3	2	1	4	4	2	4	4	2	3	4	1	IT
1	4	4	2	2	3	2	2	4	4	2	2	DE
1	3	1	3	3	3	4	3	1	3	3	3	US
4	1	2	4	1	4	2	3	1	2	2	2	CZ
1	3	3	1	2	3	2	1	1	2	2	2	US
3	2	4	1	2	4	1	4	2	1	3	2	US
1	2	3	1	4	4	2	2	4	2	2	2	ZA
3	4	4	2	3	3	3	1	3	2	1	1	GB
4	2	4	3	2	4	3	4	3	4	4	2	US
1	2	1	2	1	2	2	2	1	1	1	1	NG
1	3	1	3	3	3	1	3	1	3	3	3	US
4	2	4	4	2	2	2	4	3	4	2	4	US
1	3	1	1	1	1	1	1	1	2	1	1	SG
4	2	4	2	3	4	3	4	3	1	4	4	US
1	3	1	1	4	1	2	2	1	4	3	1	US
1	1	1	3	4	3	4	4	1	1	3	1	US
1	2	3	4	2	4	4	4	1	4	4	4	IE
1	1	1	3	2	1	1	2	1	2	1	1	GB
3	4	3	3	3	3	3	1	3	2	1	3	CA
2	4	3	1	4	1	4	4	4	4	3	1	US
4	3	4	4	4	4	4	4	4	4	4	2	US
4	2	2	2	4	3	2	4	4	4	2	2	GB
2	2	4	4	2	4	2	2	1	4	4	2	CA
2	3	4	1	2	3	2	2	4	2	2	2	AT
4	1	3	2	2	4	1	4	1	4	4	2	US
4	2	1	1	1	3	2	2	2	2	3	1	US
1	2	2	2	1	1	2	2	1	1	3	1	US
1	3	2	1	4	1	2	1	1	2	3	1	IN
3	3	3	3	2	1	2	2	4	1	3	4	CA
2	1	3	2	2	3	3	2	1	2	4	1	US
3	1	2	1	4	3	3	4	1	2	2	3	GB
4	1	4	4	4	4	3	4	4	4	4	2	DE
2	2	4	3	4	3	2	3	3	3	2	3	US
4	1	1	1	2	4	3	2	4	4	2	2	US
4	3	4	4	3	4	1	4	1	4	4	4	US
4	2	1	1	1	3	2	2	2	4	3	1	US
4	4	1	2	1	1	2	3	2	2	3	3	US
4	1	4	2	2	3	2	4	4	2	4	2	CA
1	2	4	4	1	1	1	1	1	3	1	1	US
4	1	4	2	2	4	2	2	1	4	4	2	US
1	3	3	2	2	4	4	4	4	1	4	1	US
2	1	4	2	2	4	4	4	4	4	4	2	US
4	2	4	4	4	4	2	4	3	4	4	4	US
1	1	2	4	4	1	3	3	2	1	3	3	US
4	1	4	2	4	4	2	2	4	2	4	2	US
4	1	4	1	2	4	3	4	4	2	2	2	IE
4	4	4	4	4	4	1	4	1	2	4	4	DE
3	3	1	3	3	2	2	2	4	2	3	2	CA
3	4	4	2	2	3	3	4	2	4	3	1	US
1	1	3	1	1	1	3	1	1	2	4	3	US
1	4	2	1	3	4	4	1	3	2	1	1	IT
2	1	2	4	2	4	2	2	4	2	4	2	US
4	3	4	4	4	3	2	4	4	4	4	4	US
2	2	4	3	3	4	2	1	3	2	4	1	PL
4	4	2	4	3	3	2	4	3	4	4	3	CA
3	3	1	3	3	4	2	2	1	1	3	1	CA
4	3	1	1	1	4	1	3	1	4	1	1	US
3	2	3	1	1	1	2	2	4	2	1	2	BR
4	1	4	4	4	3	4	4	1	4	4	4	US
4	1	2	2	2	4	4	4	4	2	2	2	US
3	3	1	3	3	1	1	1	1	3	3	3	ES
4	1	1	1	1	3	2	2	2	2	3	1	US
2	1	1	1	4	3	2	2	4	2	2	2	IE
2	4	4	2	2	4	4	4	4	2	2	2	GB
4	1	4	4	2	4	4	4	3	4	4	2	GB
1	1	4	2	2	3	4	2	1	2	1	2	CA
1	1	4	1	2	2	1	2	4	3	1	2	GB
1	1	4	3	3	3	3	1	1	4	1	3	US
3	2	4	3	3	3	4	2	3	2	1	1	ES
1	2	4	1	3	4	4	1	1	3	4	2	US
2	1	1	2	2	1	4	3	4	3	3	3	AU
4	1	4	2	2	4	4	4	1	4	4	4	US
2	1	4	2	2	3	2	2	4	2	1	1	US
1	1	4	2	2	3	4	2	1	2	1	2	CA
4	3	3	4	2	3	3	4	4	4	4	2	US
4	1	2	2	2	4	4	4	4	2	4	2	US
2	1	2	1	2	2	2	2	4	2	2	2	BR
2	2	2	2	2	3	2	3	2	2	2	2	IE
2	2	4	4	4	4	2	4	4	2	3	4	US
4	3	1	4	4	4	4	4	3	4	3	4	US
3	1	4	2	2	3	2	2	4	2	2	2	US
4	2	2	4	3	3	2	4	3	4	4	4	CA
4	1	4	2	4	3	2	3	4	2	4	1	IT
2	3	3	2	2	3	2	2	1	2	2	2	US
1	2	2	2	2	1	2	3	1	1	4	1	US
1	3	1	1	1	1	1	1	1	1	1	2	US
1	2	1	2	4	3	2	4	1	4	3	1	US
3	3	4	1	3	3	1	4	4	1	3	4	US
4	3	1	2	4	2	2	1	4	2	3	4	US
4	4	4	3	3	3	4	4	3	4	4	4	SK
2	1	3	2	3	1	4	1	1	2	2	1	US
4	2	3	4	4	4	2	4	4	4	4	3	EE
2	2	4	1	2	2	2	4	3	1	3	2	US
4	1	4	1	2	4	2	4	4	2	2	1	GB
1	3	1	1	1	1	1	3	1	1	1	2	US
1	3	1	1	4	1	4	3	1	2	2	2	NG
3	2	1	3	1	2	2	1	1	2	2	4	US
2	3	3	2	3	2	2	2	1	2	2	2	US
1	1	2	1	2	4	2	3	1	4	4	4	GB
1	2	4	1	3	4	4	1	1	3	4	2	US
2	2	2	4	4	2	2	2	3	4	3	3	GB
2	1	3	3	1	3	4	1	3	2	3	1	US
4	3	3	4	4	4	4	4	3	4	3	4	US
1	2	4	4	2	2	2	1	4	2	2	2	US
4	1	4	2	2	3	4	3	4	2	4	4	US
1	3	1	4	3	2	2	4	1	2	3	3	US
1	4	4	1	1	3	4	1	1	3	2	2	US
4	1	4	2	2	2	4	4	4	2	4	2	BG
2	2	4	1	2	2	2	1	4	3	4	2	US
1	4	1	3	3	3	4	3	1	4	3	2	US
4	1	4	4	4	4	4	2	3	4	4	3	US
3	3	1	3	3	3	4	4	3	4	4	3	US
3	4	4	4	4	1	1	2	1	4	4	2	NL
4	3	4	4	4	4	4	3	4	4	3	2	US
3	1	3	1	2	4	2	3	3	4	3	4	US
4	1	4	1	2	2	2	2	4	2	4	2	CH
3	3	2	4	3	3	4	4	3	4	4	3	US
1	2	4	2	2	3	2	1	1	3	2	2	GB
2	3	3	2	2	4	4	3	4	4	3	3	US
4	3	2	3	2	3	2	2	3	4	3	1	US
4	3	4	1	1	1	2	1	1	4	1	1	ES
1	3	1	2	2	4	4	3	1	2	4	3	US
4	1	4	2	2	4	2	4	4	4	4	2	GB
4	3	4	4	4	3	2	4	4	4	4	4	US
1	4	2	3	1	4	3	2	3	4	4	4	US
2	2	2	4	3	1	3	1	3	1	3	1	US
3	4	4	4	3	3	3	4	1	4	4	3	US
3	2	3	1	2	2	2	3	4	2	3	3	MA
1	3	4	1	1	4	1	4	4	4	2	2	US
2	3	1	2	2	1	1	3	4	2	3	1	ES
3	1	2	1	4	3	2	3	3	4	3	1	GB
4	4	2	4	4	4	2	4	3	4	4	2	US
4	1	1	1	4	4	2	1	4	2	2	2	GB
4	2	4	1	4	4	3	4	4	4	4	2	US
1	2	4	2	1	1	2	3	4	3	2	2	CA
3	1	1	3	1	1	4	3	3	4	1	3	GB
1	3	1	1	3	2	2	2	3	2	2	1	GR
1	3	2	3	3	1	1	1	1	3	1	3	NZ
2	1	4	1	2	3	3	3	1	1	3	1	US
2	2	4	4	1	1	2	1	2	1	2	1	US
3	3	1	3	2	3	1	4	4	4	3	3	GB
4	1	4	1	4	1	4	3	2	1	3	3	US
4	3	1	1	2	3	4	3	4	4	4	2	US
4	1	4	4	4	4	4	4	3	4	4	4	US
4	3	3	1	2	4	1	4	4	4	4	2	US
4	1	2	1	2	4	2	4	4	2	4	2	BR
2	2	4	2	4	3	2	2	4	4	4	2	US
2	2	4	2	4	3	2	2	4	2	2	2	GB
1	3	3	1	4	1	1	4	1	3	1	4	IT
3	4	2	2	1	1	4	1	3	2	4	1	PH
4	3	1	4	2	4	4	4	4	4	4	2	US
3	1	3	1	2	2	2	4	4	2	3	1	NO
3	1	1	2	3	3	2	1	2	1	3	1	US
1	3	1	4	3	3	1	2	4	4	4	4	PH
4	3	4	4	4	3	2	4	4	4	4	4	US
3	3	4	1	3	3	3	2	4	1	3	4	US
4	2	1	1	4	1	2	2	4	2	2	2	BE
1	2	4	4	3	4	3	2	1	4	4	2	US
3	3	3	3	2	3	1	3	4	4	3	1	US
1	2	3	4	2	4	4	3	4	4	4	2	US
4	2	4	4	4	4	2	4	1	2	2	2	US
4	3	3	2	2	1	1	3	4	2	4	1	US
3	4	2	3	3	4	3	4	3	4	4	3	CA
3	1	2	2	1	1	2	2	3	2	3	4	US
2	1	4	2	2	1	2	2	1	2	2	2	US
2	4	4	3	2	1	1	1	4	2	2	4	GB
2	1	4	1	3	2	2	4	1	4	2	1	BR
1	1	4	4	1	3	2	4	1	1	3	1	CA
3	3	4	3	3	4	1	1	3	4	1	3	US
