"gender","age","S1","S2","S3","S4","S5","S6","EX","NR","OP","AG","CN"
2,20,"bogans.","is attainable.","I don't have any.","I have 3 others.","nature is in its irony.","dreams.",1.6,2.5,4,2.7,4
2,20,"a person with no faith","is when you're happy","keep you intact","is the person whom you share stories to","believing","imagination",3.1,2.9,4.5,4.2,3.6
1,30,"a liar","is to live a meaningful life","my brother is wonderful","have no sister","humility is that its self-fulfilling prophecy","integrity will still help you",2.9,4,4.6,4.2,3.1
2,24,"men","has lots of books in it","would have been welcome.","improve with age","the earth is staggering.","books would not be hard to survive.",1.6,1.4,5,4.6,3
2,21,"anyone to the fullest","is work hard, party hard","can be the fundament needed for a girl","are best friends","life should be seen by many","love ;)",4.4,4,2.9,4.6,3.6
2,47,"new people who pay too much attention to you","means enough time just for yourself","always argue with each other","never forget each other","life is that there are moments of happiness and sadness","happy",2.8,2.3,3.9,3.1,2.9
2,56,"a cheater.","is a life lived with passion in the presence of those you love.","are wonderful to have.","can be your very best friends.","nature is all around us.","the will to survive, she attained great things in her life.",4.1,3.9,4,4.7,4
2,20,,,,,,,3,2.6,3.2,3.4,3.4
1,41,"policy","good company","problems","more problems","maths","?",3.1,2.8,5,2.1,2.6
2,51,"on random stuffs","is different for everybody","are the best!","are better than brothers","life","enough time",3.2,4,4.4,3.7,3.7
1,20,"a person in a bad crowd.","is spending time with friends.","are not in my life.","can be needy sometimes, but i still love them.","track is the symplisity of the pain.","a soda.",1.8,4.2,3.4,3.6,3.9
2,20,"liars","is in the beach","are weird","don't have any","is having lots of good times","laught",3.3,2.9,2.8,3.2,2.3
2,19,"people who lie.","is one that you have work hard to receive. ","are very interesting.","are there for you.","life.","compassion.",1.8,1.3,3.1,3.8,3.8
1,32,"Oil companies","Is in one's own hands","And sisters","And brothers","The Woods","Confidence",2.8,2.1,3.9,3.6,3.5
1,24,"Any person","Very difficult","Are good friends","Are very care full about brothers ","Man is honesty","Nature is great full ",3.8,2.6,3.8,4.6,3.4
1,24,"Any person","Very difficult","Are good friends","Are very care full about brothers ","Man is honesty","Nature is great full ",3.8,2.6,3.8,4.6,3.4
1,33,"anyone","is alive","are males","are females","a smile","the health",2.2,2.2,4.2,2.5,3.3
1,26,"people who strive for power","cannot be realized without God","should be there for you","are to be protected","creation is unequal","faith and you are still rich.",2.9,3.1,4.1,4,3.3
1,32,"another ","is nice","and sisters","and brothers","the queen","water",3.8,4.6,4.6,5,4.4
2,35,"another person","is happiness","Sisters fight","brothers are different","trees are relaxing","its getting done",3.1,3.7,2.7,4.2,4.2
1,22,"machines because they break down easily.","is for suckers and fat people.","are misunderstood by white honkys.","suck","disease","gaining experience.",2.8,3,4.7,2.2,3.6
1,52,"the goverment","is relaxing in a nice inviroment","and sisters are good","and brothers are good","life is not allways easy to see","time",3.2,2.9,3.7,3.9,3.4
2,46,"anyone.","includes pets and stability","seek to hurt you","seek to betray and destroy you","nature cannot be duplicated","humanity",2.5,1.5,4.5,1.6,3.6
1,35,"flattery","is often the life we had before we strove to make it better",,,"life is inherent in all","yet complete",3.1,4.8,4.2,4.4,3.6
2,30,"a drug addict","is with my family","are inspiring","love you ","motherhood","having it all",4,4.4,4.2,3.8,4.2
2,24,"before trust is gained.","requires hard work.","and sisters.","can be a pain.","life.","looks.",4.2,3.5,4.5,4.9,3.8
2,25,"an ex","is less stressful","are amazing","are probably amazing","life","my family",2.3,1.2,3.8,4.7,2.2
2,28,"a liar","is a simple life","are male siblings","are female siblings","nature","joy",1.7,2.7,3.7,4.3,4.5
1,40,"anyone.","is elusive.","are overrated","are outside my perview.","others is predictability","ambition.",1.8,2.4,5,2.9,3.4
1,32,"Strangers.","Balances excitement with safety.","Make you tough.","Make you indifferent.","Insects is much underrated.","Time.",2.1,2.8,3.9,2.3,2.2
2,50,"dishonest people","is being retired and wealthy","are protectors and I love them","are best friends and I love them","life is living","love",2.4,3.6,3.7,4.3,3.8
2,21,"someone who has wronged you in the past","is best lived with people you love","have a special bond","should always be there for each other","life is in simple pleasures","missing nothing",2.3,2.5,4.1,4.5,4.3
1,20,"those comfortable with hurting others.","is asymptotic.","are often fighting wars in their heads. ","are always beautiful. ","anything is a shadow in words.","money is the least of all evils. ",1.6,2.9,4.6,3.4,1.9
2,53,"a politician","is being able to appreciate simple pleasures","are protective","are lifelong friends","nature","love",3.4,2.3,4.1,4.7,3.1
2,18,,"is yet to come","are protectors","are best friends","life is laughter","happiness",2,2.2,4.5,4.4,3.9
1,18,"Car salesmen.","Must be earned.","Are a pain.","Are a mystery.","Life is that anything can happen.","Missing nothing.",2.3,3.6,3.9,4.2,2.8
2,31,"their flesh","is living in the Lord's presences",,,"a person is their spirit.","having everything in Christ",3.5,4.3,4.8,5,4.9
2,55,"someone who doesn't smile with their eyes","is one where you are breathing","can be a pain or a joy","that are not relatives can be a support","nature is uplifting","time",2.6,3.9,4.1,4.1,2.9
1,22,"the wolf who bit him twice","is not to think about life","should talk straighter","should talk less",,"desire",2.6,2.5,4.6,4.1,1.9
2,32,"motives in business","being able to learn","is distant","is close","nature","integrity",4,2.3,4.3,3.8,3.7
2,21," strangers","is with family","caring","awsome","love","love and care",3.1,3.3,3.4,3.3,2.9
1,25,"strangers","is upon me","till death","for ever","life is Love","still want everything",3.6,2.6,3.4,4.2,3.3
1,57,"someone like themselves","is worth living well","Sisters UNITE!","God's gift to the world.","a life well lived","rich in every way",2.3,5,4.6,3.1,4
2,34,"anyone","is having faith in God","are my protectors","are my best friends","someone is their personality","always having joy and peace",3.5,4.4,4,5,3.4
2,40," People who are too nice.","is lived moment by moment.","can save your life or kill you.","seem like friends you don't get to pick for yourself.","anything is more in the depth and context than the surface.","a sense of humor, life is still good.",2.6,4.1,4.9,3.9,4.3
1,51,"the intentions of a for-profit business.","is active and filled with variety."," can be competitive or close.","can be a source of wisdom.","the world is sometimes subtle.","health, intellect, and relationships is acceptable.",4.4,3.8,4,4.7,3.8
1,35,"politicians","is for living","are all around us","are all around us","anythng is in the eye of the beholder","itself",4.3,2.6,4.5,3.8,2.7
2,24,"a liar","is a healthy one","are older","are younger","life is in the little things","love",4.3,3.6,4.5,4.7,3.6
1,20,"women","is at mt baker","ride baker with you","are annoying","ripping pow","able to snowboard",3.7,3.9,4.2,3.5,2.5
2,34,"people too nice","is happy","are a lottery","are a lottery","the life","never the will to continue",4.2,2.2,4.7,4.8,2.9
1,23,"a stranger till u get to knw them more ","is a self productive one enjoying your passions","are people u can talk to ","are people who see the softer side of things in life ","life is that it's just a learning process and allowed to make mistakes and improve on them ","discouragement in myself ",4.2,4.1,3.4,4.3,4
2,20,"money","is live fully of one potential","are awesome","are great","love","patient",4.4,1.6,4.3,4.9,2.8
2,32,"strangers","comes and goes","are meant to be in harmony","have a lot to share in common","love","got all it takes",3,2.6,4.2,5,5
2,21,"friends are never be trusted in my point of view","life of childhood","my brothers are my true ideals","i love my sisters","nature","not avoid",3.4,3,3.8,3.8,3
2,41,"things at face value","is great!","are helpful and kind (sometimes!)","are there whe you need them (sometimes!)","the world is amazing","gaining something can be OK",4.1,3,4.8,3.7,1.3
2,22,"people","is mandatory for peace of mind","discipline and protect you","are your backbone.. they care and cater for you.. cherish them","that is me :)","striving to attain happiness",2.7,1.8,3.6,4,4.7
2,44,"a salesman","is being with friends","in arms","are always there","life","friends",4.3,3.9,4,4.3,2.7
1,32,"an airbag without their seatbelt","has to have a cold beer","lie","lie","trees","the kitchen sink",3.6,2.8,4.7,3.1,4.3
2,23,"money.","is a honest life.","are protective.","are competitive.","life is in God's glory.","wanting nothing.",2.8,3,4.8,3.8,4
1,25,"the government","is the friends and family around you","are your backbone","are moody but you have to love them","life comes with those around you","love",3.3,4.6,3.4,4.3,3
2,53,"men","is having children.","ignore you.","betray you.","life is being married.","money.",1.7,3.3,4.2,3.5,4.5
2,62,"without questioning","is now","and sisters","forever","the river","style",3.7,3.6,4.8,4.2,3.6
2,56,"a used car salesman","is this life","are kind","are challenging","where I live is its greenness and tolerance","me",3.9,2.8,3.5,4.2,3.1
1,39,"logic or emotions alone","is one of peace and contentment","I lack in biology as an only child but long to have","have a special relationship","nature brings me peace","passion is a recipe for disaster",1.5,2.2,4.3,4.5,3.1
1,19,"a poet.","lies down on the job.","will cover your foot prints with bad intentions","never come home. ","a dead city is the wind coos best without an audience. ","a train to grime city station. ",3.4,1.4,4.9,4.1,3
2,30,"liars","is now","and sisters","are the best","everything","a smile",4,4.1,5,4.2,4.7
1,21,"a burglar","is enjoying small things and friends","are very valuable ","are very valuable ","life","love",3.6,3.3,3.9,4.1,4
2,45,"a used car salesman.","is available to all who are willing to pursue it.","are your friends for life.","are your friends for life.","nature is sometimes overwhelming.","the people I love, I would still be happy.",3.1,4.2,5,4.5,3.9
2,19,"strangers","is one of happiness.","are important","are important","life is the small things","water",3,2.8,3,4.2,3.6
1,33,"Friends","Being able to relax and not worry over the basics","Are mostly assholes","Are assholes","Peace of mind","Money.",3.9,1.1,4.7,4.2,2
2,24,"people who have betrayed them before.","is hard to last. ","are the male sibblings","are the female sibblings","people is in their hearts","love",3.9,3.1,3.8,4.7,3.4
2,31,"snakes","is acheivable","are not here","are fab","the blue seas","caring people around you",3.7,2.4,3.8,4.5,3.1
2,31,"psychopaths.","is the life of a child.","love their little sisters.","love and need their brothers.","the sky and its enormity puts things in perspective for me.","your soul is still bearable. ",2.5,1.5,4.4,3.9,2.4
1,45,"a liar"," is still out there","and sisters","brothersife",,"but still trying",2.5,3.8,2.6,3.9,3.3
1,34,"someone that steals","is spending time with family and friends.","know your ever move.","have a tendency to be nosy.","life is enjoying every day","respect gets you know where",2.5,2.9,2.8,3.2,3
1,46,"everthing","is what you make of it","friends","compasionite friends ","life","love",3.9,3.8,4,3.7,3
2,24,"blue moons","is just","are wonderful","are kind","the sun is always with us","wisdom",4.8,3.3,4.9,4.9,4.3
1,32,,,,,,,2.3,2.5,4.7,4.6,3.9
2,30,"liars.","is with family.","I've gained a number over the years.","gotta love 'em!","life is having a relationship with God.","love still makes you complete.",3.8,3.7,4.2,4,3.6
1,18,"another human.","is an escape from the real life.","by blood.","always lie.","freshly fallen snow.","containing everything.",1.5,2.4,4.5,1.4,3.2
2,20,"bad vibes","is everyday","love","love","life","hard work",4.1,2.6,4.6,4.4,3.6
1,21,"a politician.","will hopefully be a nuclear family.","are great to have.","them to.","....","substance.",3.9,2.7,4.3,3.8,2.6
1,19,,,,,,,2.9,3,3,3.3,3.3
2,21,"himself","is rare","are important","are important","life","love",3.5,2.9,3.1,3.8,3.9
1,19,"Everything they read","Is wake boarding","Are the best","Suck","The self is within","A joint",2.4,3.6,2.9,3.7,3.3
1,57,"a lier or a manipulator.","is expensive. There's another one that is cheaper, but it's not really a life.","are for ever.","are not boys.","Time.","still alive.",2.3,3.8,4.8,3.3,4.1
2,21,"someone you just met/","is full of people you love.","are crazy but amazing.","are what every girl need.","music is my favorite thing.","love.",4.8,3.3,3.5,4.8,2.7
2,21,"friends are never be trusted in my point of view","life of childhood","my brothers are my true ideals","i love my sisters","nature","not avoid",2.6,2.2,3,4.6,4.2
1,25,,,,,,,3,4.2,2.2,2.6,2.6
2,18,"the majority of people.","involves being peaceful and solitary.","can be either good or bad.","can sometimes be a burden.","solitude is immense.","knowledge is acceptable; knowledge and understanding are the most vital things in this world.",1.7,1.9,4.6,3.5,3.4
1,57,"anybody completely","is the simple life","are good to have","are tricky","life is in how you look at it","the essentials one can still be happy",2.9,3.2,4.4,4.3,3.6
2,31,"is not my motto of life.","you seek is achievable. Stay positive.","are fun to be with.","are great friends.","life is in happiness.","but a good heart can still make you happy.",4.7,3.8,4.2,5,2.7
1,20,"language","is full of peace","don't mean anything a priori","can help you out sometimes","falling in love","my own self",1.8,2.5,4.1,3.6,2.4
1,35,"everybody around ","is possible","and friends are not the same","are lovely","life is happiness","not honestly",1.9,3.3,3.8,4.2,4
1,38,"anyone unreservedly","is a meaning long lost in western societies","and friends are the most important relationships in my life","usually are connected with strong bonds","simplicity is something I hold in high esteem","a good network of relationships, one can still stay afloat",1.7,1.6,4.5,2.4,2.6
1,40,"people who usually lie","is a simple life","are good","are good","nature is awesome","peace",3.9,4,3.6,3.9,3.4
2,57,"a person who is under the influence","is relative","are male siblings","are a gift","nature is awesome","one's natural gifts",4.5,3.2,4.5,4.6,4
1,60,"A person who gossips.","Unity in marriage and family.","Understand you.","Are nurturing.","Creation is restorative to the soul.","Faith, a person can still have joy.",3.3,2.3,3.7,4.2,3.1
1,34,"people that look like they are setting you up","starts now","love them","love them","sex is mostly in the shapes and movements of the female body","peace",4.1,2.4,4.6,3.8,1.9
2,40,"anyone.","being able to do what you want all the time.","are self centered","are focused on themselves.","life","family",3.1,2.9,3,4,3.5
2,29,"a male.","is when you stick to your beliefs.","stay always hand in hand.","play against each other.","life is the feeling of happiness at least for a second.","the one who you can call your alter ego.",2.6,1.7,3.7,3.6,3.2
2,37,"unknown phone callers","is having purposeful work with lots of time for reflection and relaxation.","are siblings","are friends","flowers is astounding","food",2.7,3.1,4.2,4.2,3.1
2,34,,,,,,,2.8,4.6,4.3,4,2.9
2,29,,,,,,,1.2,3.3,4.9,3.5,4.2
1,39,"a smiling saleman","is the slow life","and sisters","and brothers","the queen","self-esteem",1.2,3.4,4.1,4.1,3.7
2,66,"Your flight is departing on time","is awaiting you","are wonderful friends","are interesting companions","of a sunset can almost never be captured","a great sense of humor",4.8,4.8,4.6,5,5
2,20,"blindly.","is difficult to achieve.","; my brother and I will always have our childhood.","; I've always wanted to have one.","everything is subjective.","irrationality.",1.7,2.3,4.2,3.5,3.2
1,19,"one's government","is a lie"," maintain balance","maintain efficiency","adapting","love",4.4,2.8,4.9,3.5,2.4
1,23,"someone who betrayed your trust previously.","is a life full of love, passion, and wealth.","are more alike then it often appears.","are each others ear for listening.","winning.","competitiveness. ",2.7,3.6,3.8,4.5,4.5
2,35,,,,,,,3.4,3.3,3.9,4.1,5
1,49,"anyone then they never get let down","is coming home to the family","are blood, friends are not","are a pain","life is not knowing what comes next","got nothing",3.7,2,1.9,3.1,1.9
2,33,"government","is great","and sisters","and mothers","a flower","money",4.3,3.1,4.1,4.4,3.3
2,37,"anyone","yes indeed","are a pain","are a pain","life","have everything",2,3.1,2.9,3,2.7
2,18,"someone they don't know.","is someone who doesn't have a care in the world.","are irritating but can be loving.","aren't in my family.","sunsets strike me.","a great group of friends and family.",2.4,2.8,3.1,4.1,3.8
1,32,"the government","is unattainable","are for life","are doin' for themselves","nature","sensibility",3.1,3.3,5,2.2,2.6
2,27,"to chance.","is hard to find.","are always there for you.","are always there for you.","nature is infinite.","trust.",4.2,2.2,5,4.2,2
1,24,"to another","is happy life","in arms","of mercy","nature","still happy",3.2,3.5,4,4.2,4
1,35,"somebody without trust in you","is in your own hands","are difficult to have at the beginning of a sentence","are not much easier","life","style",2.4,3.7,3.9,3.6,2.5
2,26,"a liar.","means being at peace with your choices.","are invaluable.","are invaluable.","everything all the time.","love.",2.1,2.9,4.2,3.9,3.1
1,31,"someone who tells you to trust them.","belongs to those who least deserve it.","are the other male children of your parents.","are the other female childre of your parents.","life is loving someone and being loved back.","talent, you can still improve your position in life.",2,3,4.9,3.2,3.1
2,30,"a salesperson","has lots of love and lots of different experiences","you can't live with them, you can't live without them","also you can't live with them, you can't live without them","the universe should never be taken for granted","money makes for an unsatisfied life",3.2,2.3,4.5,3.7,4
2,54,"the government","means taking time for yourself","and sisters","and brothers","nature","money",3.3,2.7,4.8,4.1,4.1
1,41,,,,,"life",,2.6,3.4,4.8,4.2,3.5
2,20,"on what he/she is seeing","is like a smooth ocean","i dont have any brother","Sisters are the blessings of God","Life is colours","not education and awareness ",2.8,3.3,3.4,2.9,2.9
2,19,"life","is what you make of it","are for some","are for some aswell","imagination","creativity",2.7,2.4,4.7,3.5,4
2,45,"people who have lied to you","is being able to relax and not worry about money","are great","dont have any","the world is amazing","a supportive loving family",1.9,2.6,2.5,4.7,4
1,34,"an elected official","is simple","watch out for each other","take care of one another","this country is you can believe any stupid thing you want","looks.",4.2,3.2,4.3,4.5,2.9
2,33,"Those who think they know everything ","is accepting who you are","Family","Family","Life is they everyone is different and unique","common sense will not get you very far",2.1,3.8,4,4.5,4.3
2,48,"every one they meet.  ","is finding true love.","are over protective. ","sticks together. ","it all.","common knowlege. ",2.4,3.2,3,3.7,4.2
2,41,"A politician","Is about the journey","Have a bond that is unspoken","Tell each other everything","Life is the people you touch along the way","My family",2.4,3.9,4.5,4.6,4.5
1,37,"lazy people","comes to those who work",,,,,1.9,3.4,4.1,3.2,3.6
2,36,"people they do not know","is whatever makes you happy","are wonderful","are a blessing","the world is all around","not in need",4.2,4.2,4,4.4,3.6
2,19,"in God.","is make what you like.",,,,,2.5,1.4,4,3.1,2.5
1,28,,,,,,,3.5,4.4,4.6,3.9,2.1
1,59,"the government","is found when we serve others","are great","are great","this earth is inspiring","integrity makes a man rich",2.9,4.9,4.2,4.2,4.1
2,48,"people who flatter you","is elusive","look after each other","compete","wild places must be protected","breath",3.2,3.1,4.6,3.2,4.2
1,20,"yourself","is imaginary","rule","are lovely :)","what","testicles ",2.6,3.7,3.8,3.8,2.8
2,20,"laziness","with love","one","only one","courage","i'am here",2.7,2.6,4.1,2.9,3.7
2,40,"big carnivores that are hungry","has many forms but materialism isn't one of them","come in all shapes or sizes","are something I've learned to care for after pretty traumatic experiences in all girls education many years ago","the natural world is amazing.  I wish I could truly understand the more abstract beauties of mathematics.","... no idea how to finish this one.",3.7,2.5,5,4.4,3.4
2,20,"nobody","is to do what you want, when you want it","i don't know, i don't have any","i don't know, i don't have any","life is to have some passion, something that inspires you every single day","passion for things",3.5,2.7,3.9,3.7,1.3
1,25,"when it all looks grey.","is in the mind. Live your mind and bring the good life to reality.","help the sisters. Be your sister's keeper","help the brothers. Be your Brother's Keeper","Life is seen when two hearts see with one eye.","Love is the way to go.",3.6,4.8,4.3,4.4,4.9
2,61,"strangers","is being healthy, having family around and being loved","are something that i have never experienced","can make you happy or sad","life is that you get a chance to do better each day","health gives you the opportunity to obtain more",3.5,1.9,3.6,4.9,4.1
2,21,"liars","is full of love","are wonderful","i have none","being loved","love",3.9,3,4.3,4.7,3.1
2,24,"a dog with orange eyebrows.","is a myth - there is only one life and it's the one we have.","are male siblings.","are female siblings.","the night is subtle but satisfying.","the dream.",4,3,4.9,4.5,2.6
1,29,"oneself","is hard life",", brothers...",", sisters...","infinite complexity","me",2.9,1.8,3.9,2.8,1.6
2,22,"GOD","LOVE",1,2,"nature","academic achievement",2.3,2,2.8,4.2,3
2,25,"Greeks bearing gifts","is la vita bella","in arms","of mercy","the individual is in the eye of the beholder","common sense",1.5,3.4,3.3,2.2,4
1,22,"a gypsy.","is the one where you've got money.","can also be your friends.","are smart.","life is love.","a sandwich.",3.4,3.6,3.8,4.5,3.2
2,30,"anyone but one's self","is within reach","are annoying","are overly emotional","children's innocence","my will to survive",2.3,3.2,3.9,3.7,4.9
1,43,"liars and politicians","is simple.","are amazing.","are wondeful.","poetry is underestimated","God's love.",4,3.3,4.6,4.4,2.6
1,45,,,,,,,3.8,3.1,4.6,2.6,3.5
1,60,"careerists","is a matter of luck","are an advantage","are a trial","thought","love",4.1,1.9,5,4.1,1.4
1,40,"loud people","is the simple life","should support each other","need to be protected","humans is thei capacity for love","health.",2.2,2.5,4,3.7,3.7
1,22,"the loudest one in the room, for he is the weakest","consists of no fear","are a blessing","are a blessing","life is in the beholder","hope",2.6,3.5,3.6,3.6,4
2,21,"one who always lie","is to be happy with out any worry","are mentor who always help you ",,"love",,3.5,2.5,3.5,4.7,3.6
1,30,"in fear.","is lived, not desired.","are male siblings.","are female siblings.","the night is hidden and deep.","my self.",4,3.4,4.5,3.6,3.6
1,45,"someone who lies most of the time.","is being happy with your  yourself.","I love to be around.","makes me happy.","glory.","non-sence.",3.3,3.4,3.3,3.8,4.2
2,30,"Authority.","Is earned the hard way.","Smell.","Talk.","Life is in the details.","Pants",3.8,2.3,4.2,4.1,3.5
1,35,"government.","perception.","are rivals.","are team.",,,1.8,4,3.8,4.4,3.9
1,23,"greeks bearing gifts","is the freedom do what ever the hell you want with out hurting anyone","in arms ","of rome","poteen","balls will get you through it all",2.2,2.6,3.6,3.7,1.3
1,30,"an addict","as you want it to be","are forever ","are beautiful","something negative, the good that may come from it","a sense of humor",4,4.1,4.7,4.1,3.6
2,63,"people who philosophy without any kind of proof of their ideas","involves helping others","don't have to biological to be part of my family","are people who emphatize and help you through situations","life is best seen through the eyes of a child","Christ means I have everything I need",2.8,4.4,3.2,4.2,3.3
1,19,"The man","Is sipping champagne and having sex with beautiful women","Are typically testosterone filled","Are typically too horny now a days","Weed can not be matched","Haters",4.6,3.1,4.5,4.4,3.1
1,18,"Anything but their gut instinct.","is full of adventure and exploration, whether, out in the world or within oneself.","are simple souls.","are mysterious.","the world lies with it's simple elegance, rather than all of it's complexities.","the determination to discover.",2.5,2.1,4.5,3.8,3.3
1,41,"what you have not thought about","is different for everyone","are male siblings","are female siblings","the world is there for those with open eyes","the fortitude",3.2,3.9,4.8,3.8,2.4
1,43,"liars","is doing what you love","in arms","are part of the family","nature","the courage to leap",3,1.3,4.3,2,3
2,26,,,,,,,2.5,1.9,4.5,4.1,3.7
1,22,"a stranger","is up to each individual to make for themself","will always be there to lend a hand","will always be there to make you smile","one's self lies within friends and lovers","the courage and will to carry on",2.8,3.1,3.7,4,4.3
1,18,,,,,,,2,3,3.9,3.9,3.7
2,33,"people who lie.","depends on what your expectations are. ","and sisters.","are fun.","a sunset.","the middle. ",2,1.9,4.9,2.9,3.6
1,34,"another person. ","is staring at the sun","are good people.","are beatiful women","life is interior","staying happy. ",2.7,2.4,3.8,2.9,2.7
1,20,"accepted wisdom","is up to you","are important","are also important","everything is there for you","never discouraged",2.5,2.2,4.5,3.2,3.4
2,52,"everything that you hear","is one where you are hapoy and content and comfortable","are important ","can be great friends","a person is in how they are not what they are","faith and hope and love would make life very sad",4.5,4,4.8,4.8,4.2
2,22,"somebody as far as they can throw them","is what we all want in the end","easier to get along with","too much estrogen in one house is not good.","knowing what you want to do in life","blessed with everything",3.9,2.3,3.3,3.3,3.7
2,21,"men","is now","and sisters","and brothers","life","still happy",3.4,2.7,2.4,3.7,2.4
2,21,"people who have not earned it.","is made from your view on making the most of what you have.","would be delightful to have.","are the best of friends a girl can have.","life is in the eye of the beholder.","still happy with what I have.",5,2.8,4.6,5,5
1,32,"teachers.","is waiting.","starts with a B.","are nice.","music is important.","an answer is problematic.",4.1,2.6,4.6,3.6,2.3
1,33,"others","is waiting","and sisters","and brothers","life","hope",1.6,2.2,3.7,3.6,2.1
1,31,"himself","is beeing happy.","are that one, how care of you so much as you car of them.","are that one, how care of you so much as you car of them.","a person lies between the shine of his eyes and the deepness of his heart.","not  love.",4.2,4.2,4.3,4.4,3.2
1,20,"the government","is being happy","don't really matter in the greater scheme of things.","don't really matter in the greater scheme of things.","the universe is momentous.","nothing is necessary anyway.",1.2,1.6,4.2,3.9,3.7
2,28,"those who have betrayed you in the past","is a healthy one in body and mind","are part of my life","would be welcome","anyone is their heart","love",2.5,2.3,4.4,4.6,3.9
1,39,"intuition","is peaceful","mean alot","mean alot","nature","transcendence",2.1,3.1,4.8,3.5,2.7
2,28,"strangers","is when people serve other people","and sisters are important in one's life","are closer to each other than brothers to each other","nature reflects the beauty and mind of God","God is living life to the full",2.4,2.6,3.2,3.6,4
2,22,"your friends","is the best life ","cant live with them","dont have any","inside our ","sometimes smart",3,2.4,2.8,3.1,2.9
2,21,"SOMEONE WHO HAS LIED OR BEEN DECEITFUL BEFORE","IS LIVING TO THE FULL","ARE PROTECTORS","ARE BEST FRIENDS","LAUGHTER","A SENSE OF HUMOUR",4.4,3.3,3.5,4.6,4.7
2,25,,,,,,,3.4,2.5,3.8,4.6,4.6
2,21,,,,,,,4.8,4,4.9,4.5,3.5
1,21,"strangers","is without regrets","are supportive","are supportive","irony is that it happens frequently","a direction in life",2.8,2.1,3.9,4.1,3.5
2,37,"no one","is right now","I would like to have","I wish I was on better terms with","life is loving someone","kindness",3.3,2.7,4.3,4.5,4.2
1,28,"too quickly","is there, you just have to stop fussing.","are awesome.","I don't have.","taking time outs is that you finally get to breathe.","peace of mind.",1.3,4.6,4.7,4.4,2.5
1,49,"priests, politicians and salesmen.","involves achievement, reflection and a moral compass.","are not always to be relied upon.","would have been nice to have.","the daffodils in my garden that turn to face the sun make me appreciate being alive.","health, shelter and enough to eat would be ok.",3.2,3.8,4.9,5,4.2
2,36,"a deal that seems too good to be true.","is being happy","are nice but sometimes strange","are good","life amazes me","humour",2.4,3.4,4.6,3.8,3.9
2,35,"that things are eternal.","is for other people.","are the ones that always love you.","can be a pain in the ass.","life is in little things that make you smile.","trust in yourself.",3.1,2.3,3,3.2,2.5
2,26,"strangers.","starts when you find your passion.","are my male siblings.","are my female siblings.","life.","the time.",2.1,3.7,4.6,1.5,3.1
1,45,"Politicians","Is Overrated","Love each other","Are there for each other","Nature","Skills",1.9,1.8,3.4,3.2,3.2
1,23,"pathological liars","consists of balance"," are male"," are female","life, as well as the rhythm, is a wonderful thing"," money",3,2.3,4.3,3.4,3.4
2,47,"someone who is fake and is a braggart","is spending time with your close friends and family who you can be yourself around.","I love my brother","I'm a good sister - my brother & I are close.","flowers and the ocean are my favorite things.","fear of failure",4.4,3.9,4.4,4.3,2.6
2,22,"deceitful people.","is one where one is happy.","are awesome.","are cool.","nature fills my heart with joy.","needing nothing.",3.6,3.1,4.6,3.7,2.4
1,51,"liars","it what you make of it","can be helpful","can be helpful","anything is in the eye of the beholder","work",2.9,3.1,4.4,3.4,3.6
1,20,"someone who gives you easy answers.","is what I wish to achieve.","I have two of.","I have none of (in the blood).","the world is that it's filled with so much stuff to learn about.","a girlfriend.",4.7,2.3,4.9,4,2.7
2,33,"easily","is a full life. you just have to live it","are bonded deeply","are fun","nature is priceless","heart. ",3.7,3.4,3.5,3.7,3.8
2,29,"a stay dog.","involves God.","are always troublemakers.","are fun when they get older.","all things small.","missing nothing.",4.7,4.2,2.9,4.8,4.6
2,19,"assholes","involves eternal happiness","are essential ","are essential","one's compassion is important","honor",2.7,2.1,3.8,4.6,3.8
2,34,"strangers ","is the simple life ","are people that should protect you ","are amazing in times when you need to share your moments ","life is being alive and blessed ","gratitude",3.9,4.6,4.2,4.9,4.5
1,21,"one who is quick to try and reslove conflit by violance ","is what ever a person wants to make it ",", Band of","that I will love and care for until I die","Love ","giving 100% effort ",3.1,3,3.9,4.5,3.1
1,48,"other people, unless you know them well.","means feeling at peace with one's self.","help each other.","share secrects.","life can be seen all around us.","money.",2.7,2.5,4.8,3.8,3.2
2,28,"in the obvious","is hard to find","are male","are female","order is in the order itself","knowledge",2.4,2.1,3.6,2.4,4.7
1,21,"people 100%.  ","takes hard work.","are with you forever.  ","are with you forever.","life comes in little packages.","time.  ",2.9,3.5,3.9,2.9,4.3
1,19,"a terrorist.","comes easily for some and at a price for others.","are good to have, but sisters are a true blessing.","are a true blessing.","nature is lost to the greedy.","cinnamon buns is a sad way to live but pleasurable at length.",2.4,2.2,4.1,3.3,3.4
1,27,"those who have to ask us to trust them.","is irreplaceable.","gonma work it out.","are biological.","women.",".",4.3,3.5,4.9,2.6,1.5
2,55,"a process without significant testing first.","is experienced one day at a time.","can torment each other.","often end up bearing children very close to the same time.","nature is endless.","time can lead to riches.",3.5,4.2,5,4.4,3.8
1,56,"promises made by politicians","comes from hard work and play","should look after each other","should look after each other","children is there honesty","honesty and integrity",2.8,4.3,4.9,4.2,4.7
1,43,"a deity.","is better than a bad life.","are supportive","are supportive","living is that you always have another chance.","a brain, one would have difficulty enjoying ones meals.",4.7,4.4,4.9,4.4,3.8
