"AS1","AS2","AS3","AS4","AS5","AS6","AS7","AS8","AS9","AS10","SC1","SC2","SC3","SC4","SC5","SC6","SC7","SC8","SC9","SC10","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","DO1","DO2","DO3","DO4","DO5","DO6","DO7","DO8","DO9","DO10","age","gender"
5,4,4,5,3,4,4,3,5,1,3,2,1,4,4,4,3,2,5,4,3,5,4,3,2,2,2,3,1,3,3,2,3,5,4,3,3,1,3,5,40,2
4,4,3,4,4,4,3,2,1,2,2,2,1,3,4,5,2,4,4,2,3,3,4,4,4,3,4,4,2,2,5,5,4,3,3,4,4,4,3,3,28,2
4,3,3,4,3,3,3,3,2,2,4,4,4,4,4,2,2,2,2,2,3,3,4,4,2,2,2,2,2,2,3,3,3,2,3,3,4,3,2,2,31,1
3,3,4,5,3,3,3,3,2,1,3,3,5,4,4,2,1,4,3,2,4,5,5,4,2,2,1,2,1,1,3,2,4,2,4,2,4,4,2,2,21,2
4,5,3,4,2,3,3,3,2,2,4,2,4,4,4,4,2,3,4,3,4,2,4,3,3,2,2,2,4,3,3,2,2,2,2,2,3,3,2,1,54,2
2,3,4,4,4,4,3,3,3,4,2,2,2,2,4,4,3,4,4,2,5,5,5,5,2,1,1,1,1,1,4,4,5,5,5,4,5,5,4,4,27,1
4,4,4,4,2,4,3,3,3,2,4,3,3,4,3,3,3,4,4,2,2,4,4,3,4,2,3,4,1,2,4,4,3,2,3,2,4,4,2,2,36,1
4,5,4,3,4,3,3,2,2,3,3,2,3,3,3,4,3,3,4,3,5,5,3,3,2,3,3,4,2,3,2,2,2,2,2,2,3,3,2,1,52,2
5,4,5,4,3,5,2,2,1,1,4,4,5,5,4,2,2,3,2,1,4,5,5,5,2,2,2,2,4,3,5,5,5,4,4,4,4,4,4,3,32,2
5,4,4,4,3,4,2,2,1,1,4,4,5,5,4,2,2,4,2,1,4,4,4,5,2,2,2,2,4,2,5,4,5,4,4,4,4,4,4,3,32,2
3,2,3,2,4,4,4,4,3,3,2,2,4,3,3,4,4,2,4,4,2,5,5,5,2,4,4,4,2,2,4,3,2,2,3,2,3,2,2,2,46,2
4,4,3,3,3,4,2,2,1,1,5,4,3,4,3,2,2,2,2,2,4,4,4,4,2,2,2,3,2,3,4,3,2,2,3,2,4,4,2,2,54,2
5,5,4,4,2,4,3,3,1,2,4,4,3,5,2,1,2,3,2,2,4,5,5,2,3,1,1,2,2,2,4,4,5,4,4,3,5,4,3,3,33,1
4,4,3,5,2,4,2,1,2,4,2,2,2,4,5,3,1,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,5,4,4,4,4,4,4,4,28,2
4,4,4,4,3,4,2,2,1,2,4,4,3,4,3,1,2,1,1,1,4,5,5,3,1,1,1,2,1,2,4,2,3,2,4,2,3,3,2,3,39,2
4,3,3,3,0,3,3,3,4,2,3,3,2,3,3,3,3,2,2,3,3,4,4,4,3,3,2,2,3,3,3,3,3,3,3,3,4,3,3,2,32,1
4,2,2,3,3,3,4,5,3,2,1,1,2,4,3,5,3,5,5,2,3,3,5,4,3,4,3,5,1,1,4,4,4,2,4,2,5,5,1,2,55,1
4,4,4,5,3,3,3,5,5,2,5,5,5,4,5,1,2,3,2,1,5,5,5,5,3,2,3,4,1,2,4,5,3,3,5,3,2,3,3,2,23,2
3,2,4,4,3,5,3,3,2,2,4,3,2,3,5,2,1,2,3,2,4,5,4,3,4,2,3,4,2,3,3,2,4,4,4,4,3,3,3,2,23,2
5,5,5,5,5,5,4,4,1,1,5,5,5,5,5,1,1,1,4,1,5,5,5,5,2,2,2,4,2,4,4,4,4,2,5,4,5,5,2,4,32,1
2,2,4,2,2,3,5,5,5,1,3,4,4,2,3,2,3,3,2,3,5,5,5,5,1,1,1,3,3,3,3,3,4,3,3,2,2,2,3,2,34,2
4,5,4,4,0,4,2,2,2,2,2,4,2,4,4,2,2,4,2,4,4,4,4,4,2,1,1,2,1,2,5,5,5,4,4,4,4,4,2,2,22,1
5,4,4,5,5,0,2,1,1,1,4,4,4,4,5,2,1,1,3,2,4,4,5,5,2,1,1,1,1,2,3,3,3,4,4,4,4,4,2,2,49,1
4,5,5,4,4,0,2,2,1,1,3,3,3,4,4,3,1,2,3,1,5,5,5,5,1,1,1,4,3,2,5,5,4,3,4,4,4,4,3,4,41,1
4,5,4,4,4,5,1,2,1,2,4,4,4,4,4,2,2,2,2,2,5,5,5,4,2,2,2,4,2,2,5,5,2,3,4,4,4,4,4,2,27,1
2,4,4,2,3,4,4,2,1,2,4,2,2,2,4,4,3,3,4,2,5,5,5,5,2,4,2,2,1,2,4,4,4,3,2,2,2,2,2,2,30,2
5,4,4,5,3,4,2,2,1,1,5,5,4,5,4,1,1,2,2,2,3,5,5,4,2,2,2,4,1,1,1,1,4,4,5,4,5,4,2,0,22,1
3,3,3,3,4,3,3,3,2,3,5,4,4,4,3,3,3,3,3,2,4,4,3,4,2,2,2,2,2,2,4,4,4,3,4,3,3,4,2,3,54,2
3,4,4,4,3,4,2,2,2,1,4,2,2,3,4,4,2,2,4,2,4,4,5,5,2,2,2,3,1,2,4,4,4,4,4,3,4,5,4,3,38,1
5,4,4,4,5,5,2,2,1,1,5,4,4,4,4,2,1,1,4,1,5,5,5,5,2,2,2,1,1,2,4,4,4,3,4,4,4,4,4,4,40,2
4,3,3,3,3,4,2,2,2,1,4,4,2,3,2,4,3,2,2,1,4,5,5,4,2,3,3,3,2,2,4,5,4,3,4,3,4,5,3,2,43,1
5,4,3,3,4,3,3,3,1,1,5,3,4,4,0,3,2,1,3,2,4,4,4,4,3,1,1,2,2,2,4,3,2,2,2,2,2,2,2,2,58,1
3,2,2,3,2,2,4,4,3,3,2,1,2,3,3,4,4,4,4,3,3,3,3,4,4,3,3,4,3,4,3,2,3,2,2,2,3,3,2,2,23,2
5,5,4,4,4,4,2,1,1,1,1,3,5,5,5,2,1,1,3,1,4,5,5,5,2,1,1,3,1,3,4,3,4,2,2,2,3,3,1,1,42,1
4,4,3,3,3,3,3,3,1,2,5,5,3,4,3,2,4,2,2,3,4,4,5,5,3,1,2,2,1,1,4,4,3,3,3,2,3,3,3,2,30,0
5,2,2,4,0,2,4,3,1,1,4,3,2,5,2,2,2,3,4,2,4,3,2,4,2,1,1,4,1,0,4,4,2,2,2,2,5,2,2,2,26,1
2,4,2,4,1,3,4,2,1,1,4,3,2,2,4,2,1,2,4,2,2,4,4,4,4,4,4,4,2,4,5,5,4,2,4,2,3,3,2,2,45,2
4,4,4,4,3,3,2,3,2,2,4,4,4,4,4,2,3,2,3,2,3,4,4,3,3,2,2,3,2,3,3,2,4,3,4,3,4,3,2,4,45,2
4,4,4,3,4,4,2,2,1,1,4,3,3,4,4,1,1,2,3,3,3,4,5,5,3,1,1,2,2,1,4,4,2,2,1,2,3,5,1,3,31,1
5,4,4,5,3,4,2,3,1,1,5,4,5,4,5,2,1,1,3,1,2,5,5,5,2,2,2,3,1,1,5,3,4,2,2,3,4,4,4,2,30,1
2,5,4,3,4,5,2,3,1,1,3,2,1,2,2,4,4,3,4,1,5,5,5,5,1,1,1,3,1,1,5,4,5,5,5,4,5,5,3,4,31,1
4,3,4,4,4,4,3,2,3,2,4,3,2,4,4,3,2,1,4,2,4,5,5,5,2,1,1,2,1,1,2,2,1,1,2,1,4,4,2,2,50,2
2,4,4,4,4,4,2,4,1,1,4,4,2,2,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,2,2,2,4,2,2,2,4,4,2,4,58,2
5,4,4,5,3,4,2,2,5,2,5,5,5,4,5,1,1,1,1,2,5,4,5,5,2,1,1,2,1,2,5,5,2,2,3,4,3,3,1,2,27,1
3,4,4,3,3,3,4,3,3,1,2,3,1,2,1,3,4,4,3,4,3,4,4,4,3,1,1,3,3,2,3,2,4,4,4,4,4,3,4,2,18,1
5,5,5,4,4,4,2,2,2,5,5,3,3,4,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,2,34,1
4,1,1,1,1,3,5,3,3,3,4,1,1,4,1,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,14,2
5,5,4,5,4,4,2,3,1,1,5,4,5,5,5,2,1,1,3,2,4,5,5,5,2,2,2,2,1,2,2,2,2,2,2,2,4,4,1,3,40,2
4,3,2,4,2,3,3,2,1,2,3,2,1,4,3,4,2,2,4,2,2,4,5,4,4,3,2,3,2,2,3,3,2,2,3,2,4,3,2,2,36,1
4,5,4,4,3,4,2,2,1,1,5,3,4,4,5,3,1,1,3,5,4,4,4,4,3,1,1,1,2,3,4,4,3,3,3,3,4,4,2,1,52,1
3,4,3,2,0,4,2,2,4,2,3,2,3,3,2,3,3,2,4,2,3,4,4,3,2,3,2,4,1,2,3,2,4,4,4,4,4,4,4,3,21,1
4,3,2,4,3,4,4,2,1,2,4,2,1,3,2,4,2,3,4,3,2,5,5,3,4,2,2,2,2,2,3,4,2,2,3,2,3,3,2,2,36,1
4,2,1,3,2,1,2,2,3,3,4,2,3,3,2,3,4,3,4,4,3,4,4,4,2,2,2,3,5,4,2,1,3,1,3,2,2,2,1,1,55,2
4,4,3,4,4,3,3,3,1,1,4,4,3,4,4,4,2,2,4,2,4,5,5,5,2,1,1,4,2,2,4,4,4,4,4,2,4,2,2,2,26,1
4,2,3,4,3,3,4,3,1,1,4,2,3,4,4,4,2,3,4,1,5,5,5,5,2,2,3,3,2,2,4,4,4,3,4,4,4,4,3,3,25,1
4,4,5,4,4,4,1,2,1,1,4,4,4,4,4,1,1,1,1,1,5,5,5,5,2,1,1,1,1,1,4,4,3,1,2,4,3,3,2,2,27,2
3,4,3,3,3,3,4,4,4,3,5,4,4,3,4,2,2,2,3,4,5,5,4,4,3,3,3,3,2,2,3,4,4,3,4,3,2,4,4,4,31,2
5,4,4,5,4,4,2,3,1,1,4,3,4,4,5,3,1,3,4,3,5,4,4,3,3,3,3,4,1,2,2,2,3,2,3,3,4,4,3,3,36,1
2,2,1,3,2,3,4,3,1,2,3,2,1,3,2,5,2,3,5,4,2,4,5,4,4,3,3,4,2,4,3,3,5,1,2,2,3,2,2,2,36,1
4,4,3,3,4,4,2,3,2,1,3,4,4,4,3,2,2,3,2,2,4,4,5,5,3,2,2,2,1,2,4,4,4,2,4,3,4,4,4,2,30,1
5,4,4,4,3,4,2,2,1,1,5,4,4,5,4,1,1,1,1,1,4,4,5,4,2,3,1,1,1,1,4,3,2,3,2,3,3,2,2,2,65,1
5,4,5,5,4,4,1,1,1,1,5,3,3,5,5,3,1,1,3,1,5,5,5,1,1,1,1,1,1,1,5,5,5,3,4,2,5,5,2,4,24,2
4,3,3,4,4,4,3,0,2,2,4,4,4,4,3,2,2,2,2,2,4,4,4,4,2,2,2,3,5,2,4,4,3,3,3,3,3,4,3,4,47,2
5,5,5,5,3,4,2,2,2,1,4,5,5,5,4,1,1,4,1,1,3,4,5,5,2,4,4,3,1,1,2,2,4,4,4,4,3,4,4,2,24,2
5,4,3,5,3,4,2,2,1,1,3,2,2,5,4,5,2,4,4,1,2,4,5,3,4,4,3,5,1,3,4,2,4,3,5,3,5,5,0,3,27,1
5,4,4,4,4,4,2,4,1,1,4,3,4,4,3,4,3,2,4,2,5,5,5,5,2,2,2,2,2,2,3,3,2,2,3,2,3,3,1,1,59,2
4,3,3,4,3,2,3,3,2,2,4,4,4,4,4,2,2,2,4,2,4,5,5,5,3,4,2,2,1,1,4,4,4,2,4,2,4,3,1,1,34,2
2,4,4,3,4,2,3,4,2,2,2,4,4,2,4,4,2,4,4,2,4,4,4,4,2,2,2,2,2,2,4,4,4,2,4,2,4,4,2,2,42,1
4,3,3,3,2,3,3,3,4,2,5,4,2,4,3,2,2,1,2,2,3,3,3,2,4,4,4,4,2,4,3,2,4,3,3,4,4,4,4,3,43,2
5,3,3,4,4,4,1,1,1,1,5,4,5,5,5,1,1,2,2,1,5,5,5,5,1,1,1,1,1,1,5,4,4,3,4,3,5,4,3,3,59,2
1,2,2,2,2,4,5,4,4,1,4,1,2,2,3,4,2,1,3,2,5,5,5,5,5,2,2,4,1,1,1,1,1,1,1,1,1,5,1,1,19,2
3,4,5,4,4,4,2,3,1,1,4,5,3,3,4,3,1,3,3,1,4,5,5,5,2,1,1,2,1,2,3,2,3,3,4,2,1,4,5,2,24,1
4,2,4,4,3,3,2,2,2,1,5,4,4,4,4,1,2,2,3,3,5,5,5,5,2,1,1,2,2,2,4,2,2,2,2,3,2,4,1,4,29,1
5,4,5,4,5,4,2,3,1,1,2,4,4,5,3,2,2,4,2,2,4,4,5,5,2,2,2,3,4,3,2,2,3,3,3,4,5,5,3,4,54,1
5,5,5,5,5,5,1,1,1,1,5,4,4,5,5,1,1,1,1,1,5,5,4,5,1,1,1,3,1,1,5,4,3,5,5,3,3,5,1,3,59,2
5,4,3,5,3,4,1,3,1,1,5,4,5,5,5,1,1,1,1,1,4,5,5,5,2,2,1,2,1,2,5,4,2,1,1,1,1,4,1,1,56,2
1,1,1,1,1,1,5,5,2,3,3,1,1,2,1,5,5,4,5,5,3,5,3,3,3,4,4,3,1,5,3,4,4,2,2,2,1,1,2,1,42,1
5,4,4,5,4,3,3,3,1,1,3,5,5,5,5,2,2,3,3,1,2,3,4,3,3,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,38,1
4,5,5,4,5,5,1,2,2,2,5,5,4,4,2,2,2,4,4,2,4,5,5,4,2,4,1,4,1,4,4,4,2,2,2,2,4,4,1,2,25,1
4,4,3,4,3,4,2,2,2,2,5,4,4,4,4,2,2,1,1,1,4,5,5,5,2,2,2,2,2,2,2,2,3,2,2,2,3,4,2,2,44,2
3,3,2,3,3,3,4,3,1,2,4,3,2,3,3,3,3,2,3,4,5,4,4,4,4,3,2,4,2,3,3,3,3,2,4,3,3,4,2,2,22,2
2,5,5,3,2,5,3,3,1,4,3,4,4,4,2,2,2,3,2,4,2,5,5,5,2,2,2,3,4,3,4,4,3,2,2,1,5,4,3,2,25,2
5,5,5,5,5,5,1,5,1,1,5,5,5,5,5,1,1,1,5,1,5,5,5,5,1,0,1,5,1,5,5,1,5,1,5,1,5,5,1,1,55,1
3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,4,3,2,4,2,4,4,4,3,3,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,30,1
2,5,4,4,2,4,1,3,1,1,1,1,1,1,4,5,2,5,5,2,4,5,5,2,2,4,2,2,1,3,4,4,4,4,5,2,4,5,2,4,31,1
5,5,4,4,4,4,2,2,1,1,5,5,4,5,4,1,1,1,1,2,5,5,5,5,1,1,1,1,1,1,5,5,4,2,4,4,4,4,3,3,41,1
4,4,4,4,4,4,3,3,2,1,4,3,3,4,3,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,28,1
3,4,2,3,3,4,4,3,1,1,4,2,4,3,2,4,3,1,2,1,4,4,4,5,1,1,1,4,1,2,4,4,4,2,5,2,5,5,4,4,28,1
3,4,4,3,4,5,2,4,1,1,3,1,2,2,1,5,5,3,5,2,1,1,3,4,3,2,2,5,4,3,3,4,4,4,4,3,4,4,5,5,33,2
4,3,4,4,4,4,3,4,1,1,2,1,2,4,3,5,3,2,5,3,2,3,5,4,4,3,3,4,4,4,3,4,4,5,4,3,4,4,5,5,33,2
4,3,3,4,3,4,3,3,1,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,3,2,2,2,4,4,2,2,32,2
4,4,4,4,3,4,3,3,1,1,4,2,3,4,4,3,1,3,3,1,4,5,5,5,2,2,1,3,1,1,3,3,3,3,4,3,3,4,2,2,36,1
4,5,5,5,4,4,2,3,1,1,5,5,4,4,5,1,1,1,1,1,3,5,5,5,3,2,2,4,3,2,5,5,4,3,2,4,4,4,3,3,30,1
2,4,3,3,3,4,3,3,2,1,4,3,2,3,3,4,2,3,3,1,3,5,5,5,4,3,2,4,2,3,3,4,3,2,2,3,2,4,3,2,31,2
4,2,2,3,2,3,4,4,4,2,4,3,2,4,3,4,2,3,4,3,4,4,4,4,4,2,1,4,1,2,2,2,3,2,3,3,4,3,2,2,26,1
5,5,3,5,4,3,1,3,1,2,4,4,4,4,4,2,2,2,2,2,5,4,4,4,3,3,1,2,1,1,4,4,2,3,4,3,3,4,4,4,34,2
4,4,4,5,4,4,3,3,2,1,5,5,5,4,4,2,2,2,2,1,4,4,4,4,2,2,2,2,2,2,5,5,3,3,4,4,4,4,4,4,30,2
2,5,4,3,5,5,2,3,2,2,3,3,3,2,3,3,2,2,2,1,5,5,4,5,3,3,2,3,2,2,4,3,4,4,4,4,5,4,3,3,42,1
4,3,3,3,3,3,2,2,3,1,4,4,3,4,2,2,2,1,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,2,35,1
5,4,4,5,4,4,2,2,1,1,5,5,5,5,5,1,1,1,1,2,4,5,5,4,2,2,2,2,1,2,4,5,4,4,5,3,5,4,4,5,30,1
4,4,5,4,3,4,1,4,1,1,3,4,5,4,5,2,2,2,3,1,1,2,5,5,2,2,2,4,2,1,5,4,3,2,4,2,5,4,2,3,32,1
4,4,4,4,4,4,2,2,1,1,5,5,5,5,5,1,1,1,3,1,4,5,5,4,1,1,1,3,1,1,4,4,3,3,4,2,4,5,1,3,57,1
5,5,5,3,4,3,3,3,1,1,1,1,3,5,2,5,4,5,5,1,2,5,5,5,5,1,1,4,5,3,4,4,2,3,4,5,5,5,5,5,40,2
5,5,4,0,4,5,2,2,1,2,5,4,4,5,4,2,1,1,2,1,5,5,5,5,2,1,1,2,1,1,5,5,4,4,4,3,4,4,4,4,26,1
3,5,4,3,5,5,4,4,1,1,3,3,4,3,3,4,3,4,4,3,5,5,5,5,1,1,4,3,3,1,4,4,3,3,4,3,3,5,3,1,24,1
4,5,4,4,3,4,1,2,1,1,4,3,4,5,4,4,1,1,1,2,3,4,4,4,2,2,2,3,2,2,4,3,3,2,4,2,4,4,2,3,31,1
5,4,2,5,3,4,2,1,1,1,5,5,5,5,3,2,1,1,4,2,5,5,5,5,1,1,1,1,1,2,2,1,1,3,4,1,5,5,1,4,48,1
2,4,4,4,3,3,2,3,2,1,4,3,4,3,4,2,2,1,2,1,5,4,5,5,1,1,1,2,1,1,4,2,2,1,2,2,4,3,2,2,31,1
4,3,3,3,3,3,3,3,2,5,3,3,4,4,3,3,2,3,4,2,3,5,5,5,2,2,2,2,2,2,3,3,2,2,3,2,4,4,1,1,46,1
5,5,5,5,3,3,3,3,1,1,5,1,5,5,0,1,1,1,3,1,5,5,3,3,1,1,1,1,1,1,1,1,1,2,3,3,4,2,1,1,38,1
4,3,4,5,5,4,2,1,1,1,5,5,4,4,5,4,2,1,2,2,5,5,5,4,3,2,1,3,1,4,2,2,3,2,4,4,4,4,1,2,33,2
4,4,4,4,3,3,3,2,2,2,4,4,3,4,5,2,0,2,1,1,4,5,5,5,2,2,2,2,1,2,4,4,3,2,2,3,4,4,1,2,21,1
4,5,5,4,4,4,2,2,1,4,2,3,2,4,4,2,2,3,2,2,3,2,4,5,4,4,2,4,4,4,2,2,4,4,4,4,4,4,2,4,31,1
5,5,4,5,4,4,2,2,1,1,4,5,5,5,4,1,2,2,2,1,5,5,5,5,2,2,2,3,2,2,4,4,3,4,2,3,4,3,4,2,62,1
4,3,2,5,2,3,4,3,2,1,3,2,1,4,4,4,2,4,4,4,2,2,5,4,4,3,3,2,1,2,2,2,4,2,1,1,4,4,2,1,26,1
5,5,5,5,4,4,2,2,2,1,5,4,5,5,5,2,2,2,2,2,5,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,59,2
4,4,0,3,3,4,2,2,1,1,4,3,3,4,3,1,1,1,3,2,5,5,5,5,2,1,1,3,3,1,4,4,3,3,4,4,4,4,2,3,38,1
5,5,4,5,3,4,2,4,4,4,5,4,4,5,4,2,2,1,2,1,5,5,5,3,3,4,4,4,1,4,2,2,4,2,4,3,4,5,2,1,25,2
5,4,4,4,5,4,2,2,1,1,4,4,4,4,3,2,2,2,2,1,5,5,5,5,2,1,1,2,2,4,4,4,4,3,4,3,4,4,2,3,64,1
5,4,4,5,3,2,2,5,2,1,5,5,5,5,4,1,1,1,1,1,5,5,5,5,3,1,1,5,1,2,5,4,3,5,4,4,4,4,4,2,16,2
4,4,3,4,4,4,2,2,1,1,5,4,4,4,4,2,2,1,3,2,3,5,5,5,3,2,2,2,1,2,5,5,4,3,4,4,4,5,3,2,23,1
4,4,4,3,4,4,2,2,3,1,3,3,4,4,3,3,2,4,3,1,4,5,5,5,2,2,1,2,2,1,1,1,4,3,2,2,4,4,1,2,42,2
4,4,4,4,5,5,2,3,2,1,4,3,4,4,3,3,2,3,3,2,5,4,5,4,3,3,3,2,2,3,4,4,4,4,2,3,2,4,2,2,43,2
3,4,3,4,3,3,2,3,4,1,3,3,2,4,4,4,3,2,3,2,3,5,4,3,3,2,3,3,1,3,4,4,3,2,4,3,4,3,2,3,30,1
5,4,5,4,4,5,2,4,1,1,3,5,5,5,4,4,4,4,4,1,5,5,4,4,1,2,2,4,3,4,5,4,5,4,1,4,5,4,2,1,24,2
2,2,3,3,3,4,4,4,4,4,2,2,1,2,3,3,2,4,4,4,2,2,4,3,4,4,3,4,1,3,4,4,4,3,4,4,2,3,3,1,20,1
4,2,2,2,2,2,4,4,3,2,2,2,3,4,2,4,3,4,4,2,4,5,4,5,4,3,2,3,2,1,3,4,4,2,2,2,3,3,1,1,19,2
1,2,2,3,2,2,5,4,4,3,2,1,3,2,4,5,2,5,4,3,2,5,5,4,3,2,2,5,1,4,4,4,4,1,4,1,4,4,3,3,25,1
1,2,4,4,4,4,1,1,1,1,2,1,1,1,2,5,1,3,5,2,5,5,5,5,2,1,1,2,1,2,3,4,2,2,5,3,5,5,5,4,30,2
3,3,2,4,2,3,4,4,4,3,3,4,2,3,4,3,2,2,4,2,2,4,4,3,4,2,2,4,2,4,4,3,2,2,3,3,3,3,4,2,21,1
2,4,4,3,4,3,3,4,1,2,3,3,2,2,2,3,3,3,3,3,4,4,4,4,3,2,2,3,2,3,4,4,5,4,4,3,3,3,3,3,31,1
4,4,4,4,5,5,2,3,2,2,5,5,5,5,4,2,2,1,2,2,4,5,4,3,3,4,2,4,3,2,4,4,4,4,4,3,2,4,3,2,40,1
2,2,3,4,2,3,4,2,2,2,5,3,4,2,3,4,2,1,5,2,3,4,4,3,4,3,3,4,1,3,4,2,2,3,5,3,2,4,3,2,17,1
4,5,4,3,4,2,2,2,1,1,4,5,4,4,4,1,2,2,2,2,5,5,5,5,2,1,1,3,1,3,3,3,3,4,2,3,2,4,3,2,21,1
2,4,3,4,3,4,5,2,1,1,4,5,3,2,2,3,2,2,5,3,3,4,5,5,5,2,1,5,1,1,5,5,3,4,4,2,2,4,3,3,31,1
4,4,4,5,4,4,4,2,1,1,3,2,3,3,4,4,2,2,5,2,3,3,4,3,3,2,1,3,4,1,4,2,2,3,3,2,4,4,3,4,46,1
2,4,3,3,2,3,3,3,2,2,2,4,3,2,4,3,2,4,2,4,4,4,4,4,5,0,3,3,3,3,4,5,2,4,4,4,4,4,2,1,27,2
5,4,3,3,3,3,3,3,1,2,5,3,3,5,4,3,2,1,4,3,5,4,4,4,3,2,2,3,5,3,4,3,3,1,2,2,4,3,2,1,41,1
1,2,3,1,2,3,4,3,2,4,2,3,1,1,1,3,4,4,4,5,3,4,4,4,4,3,3,4,4,4,3,4,4,2,4,2,4,4,2,3,24,2
4,5,4,4,3,4,2,3,4,4,4,4,1,4,5,2,1,2,2,2,2,5,4,2,4,3,3,3,2,4,2,3,3,2,4,4,4,4,2,2,32,1
4,2,4,3,3,4,4,4,2,1,4,2,3,4,3,4,2,2,4,2,3,5,4,5,4,2,2,4,1,3,4,3,3,3,4,2,3,3,2,2,26,2
2,2,3,3,3,3,3,2,1,1,2,3,2,2,2,4,4,4,4,3,3,3,4,4,2,2,2,2,2,2,4,4,3,3,2,2,3,3,2,2,49,2
4,2,1,4,1,1,5,4,4,1,3,1,4,4,4,4,2,4,4,5,4,2,4,4,2,2,2,1,2,2,2,2,2,4,2,2,2,1,2,1,32,2
5,3,3,4,5,4,3,3,1,0,2,0,1,5,4,3,3,4,3,1,2,5,5,5,4,3,3,3,4,2,4,3,4,3,2,2,2,4,0,2,31,2
5,4,4,3,3,4,4,2,1,1,5,3,3,3,2,3,0,2,4,1,5,5,5,5,4,3,3,2,3,2,4,3,4,2,2,4,2,4,4,1,26,2
2,2,2,4,3,4,4,3,2,1,3,2,2,2,3,4,2,4,4,4,2,4,4,4,2,2,2,2,2,2,4,4,2,2,2,2,2,3,2,2,42,1
4,3,2,3,3,3,2,2,2,2,5,2,3,4,2,4,3,2,4,3,4,4,5,3,2,2,1,2,1,2,2,1,1,1,2,1,3,2,1,1,45,1
4,2,1,3,2,2,4,4,4,4,2,2,2,4,2,4,4,4,4,2,3,4,4,3,4,4,4,4,2,4,2,2,4,2,4,3,4,4,2,2,45,2
5,4,2,4,4,4,4,4,1,1,4,4,4,4,4,4,1,1,4,1,5,4,3,4,2,2,4,4,2,2,4,4,4,3,4,2,4,4,3,2,34,1
4,5,4,4,4,4,2,2,2,1,4,4,3,4,4,3,1,2,2,2,3,3,4,3,4,3,3,4,3,2,4,4,4,3,3,3,4,4,3,2,35,1
5,4,4,5,3,4,2,3,1,1,4,2,3,4,5,3,5,1,4,1,3,4,4,3,4,3,3,4,2,2,3,1,1,3,2,1,3,4,3,5,52,2
5,1,4,5,5,5,1,2,5,1,2,2,5,5,4,5,2,1,2,1,1,1,5,5,5,5,5,5,1,1,5,5,4,1,1,4,5,5,1,4,24,2
4,4,3,4,4,4,1,2,1,1,4,4,4,4,4,2,2,2,2,2,4,5,5,4,2,2,2,2,2,2,3,5,3,2,2,1,4,2,2,3,41,1
4,4,4,4,4,4,2,3,2,2,5,4,4,4,4,1,2,2,2,1,4,5,4,3,3,3,2,4,3,4,4,4,3,3,4,2,2,4,3,2,40,1
5,5,5,5,5,5,1,1,1,1,1,1,1,5,3,3,2,2,2,1,3,3,3,5,1,1,1,1,1,1,1,1,5,3,3,5,5,5,4,5,56,1
5,4,4,4,4,4,3,2,2,1,2,4,4,4,4,4,2,4,2,1,5,3,5,5,1,1,1,1,1,1,4,4,4,4,3,3,4,4,1,2,29,1
2,5,5,4,4,4,2,2,4,1,5,2,3,2,4,2,2,1,4,1,5,5,5,5,2,2,1,4,1,2,4,3,3,2,2,4,4,4,3,2,48,1
3,3,3,4,4,4,2,3,2,3,4,4,2,3,4,3,2,2,2,3,3,4,4,4,3,2,2,2,3,2,3,3,3,3,3,2,4,4,2,2,33,1
5,5,4,3,4,4,2,3,2,2,4,3,2,4,3,2,2,2,2,1,4,4,4,4,4,4,4,4,2,3,3,4,3,3,4,3,2,3,2,2,33,1
4,4,5,3,3,5,2,2,1,1,3,3,2,3,3,3,3,3,4,2,4,4,5,4,2,2,3,3,3,1,5,5,5,3,4,4,3,5,3,3,38,1
5,5,2,5,2,2,4,4,2,2,5,5,5,5,5,2,2,2,2,2,5,5,5,5,3,2,2,2,4,2,2,2,4,2,2,4,4,4,2,2,39,2
4,4,3,4,3,3,3,2,1,1,4,3,1,4,3,3,2,2,4,2,2,4,4,3,4,3,3,4,2,3,2,2,2,2,2,2,2,2,2,2,43,2
3,3,2,4,4,3,3,4,1,2,2,2,2,2,3,4,2,4,3,2,3,2,5,4,3,2,2,3,2,3,2,2,2,2,4,3,2,4,2,3,23,1
5,5,4,5,4,4,2,2,1,1,5,5,5,5,5,1,5,1,1,1,5,5,5,3,3,3,3,3,1,3,5,5,1,1,1,1,1,3,3,1,44,2
