submittime,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
2015-03-30 14:31:06,75,482,68,423,45,1211,48,31,11,79,82,32,6,672,57,739,3,27,1096,44,4,1,2,2,5,1,5,3,5,5,4,4,5,4,2,4,4,4,4,4,1,5,4,4,1,4,1,4,4,3,3,2,3,4,3,4,4,2,4,3,4,5,5,5,3,2,2,3,5,4
2015-03-30 14:40:56,50,500,60,400,90,1200,70,30,66,70,84,75,6,678,55,777,2,80,4000,50,3,3,5,3,4,2,5,3,2,2,1,4,3,4,2,2,4,4,4,4,5,5,2,5,1,1,1,1,1,5,3,2,2,3,3,3,2,2,4,3,3,3,4,3,3,4,4,4,4,3
2015-03-30 14:34:54,57,563,55,250,99,1231,77,32,56,92,85,15,6,740,48,744,3,19,356,49,2,2,2,4,4,2,4,4,2,4,5,2,5,1,4,4,5,5,4,5,2,4,2,4,2,2,2,4,4,4,4,4,4,5,4,1,5,4,4,3,5,5,4,5,2,2,2,2,4,2
2015-03-30 14:34:27,5,10,50,150,2,125,20,15,2,71,87,48,7,700,90,699,2,6,78,33,3,1,3,3,4,2,2,3,3,2,5,2,5,3,3,5,5,4,5,3,3,1,5,4,3,3,3,2,2,3,5,1,5,4,1,2,4,3,5,3,3,1,2,3,4,2,4,3,2,4
2015-03-30 14:43:58,31,15,78,300,31,132,31,22,31,100,88,31,5,601,31,701,2,31,2015,31,2,1,4,2,4,2,4,4,2,4,4,2,5,2,4,3,4,4,4,2,1,5,4,5,1,5,1,5,5,2,4,2,4,4,2,2,4,4,4,5,4,2,2,2,4,2,5,2,5,4
2015-03-30 14:36:39,5,500,66,300,50,641,50,38,50,80,70,50,7,700,50,700,3,50,3245,45,2,1,5,2,5,1,4,2,5,2,4,1,5,2,2,4,5,5,4,4,1,4,5,5,1,4,2,4,4,4,2,2,2,5,2,2,4,4,2,4,2,2,5,4,4,1,4,3,4,4
2015-03-30 14:39:55,88,765,69,250,99,1356,67,45,74,35,83,39,7,700,56,743,3,89,2014,32,5,4,3,1,4,3,4,2,5,1,4,5,4,4,4,4,5,5,2,2,1,5,2,5,1,4,2,0,4,5,4,4,5,5,1,4,3,2,3,3,5,1,5,1,5,1,4,3,4,5
2015-03-30 14:39:24,7,7,70,106,7,124,7,7,7,106,70,7,7,700,7,700,1,7,700,34,3,5,3,5,4,5,1,2,4,5,2,4,5,1,1,1,5,4,4,4,4,5,5,5,3,4,1,4,4,4,4,1,5,2,4,1,5,2,4,4,4,1,5,1,5,1,5,3,5,5
2015-03-30 14:40:59,7,700,77,250,500,611,50,25,50,100,87,50,7,700,70,700,2,5,2012,55,5,5,5,2,5,4,2,2,4,4,5,5,4,1,4,4,2,1,5,1,5,5,3,2,5,5,5,5,4,5,5,1,3,1,1,5,2,2,1,5,1,3,5,1,4,5,4,1,1,5
2015-03-30 14:56:45,5,95,77,300,50,550,75,35,2,112,85,21,7,700,42,750,2,3,3015,45,4,3,4,2,4,2,5,3,4,2,3,2,4,4,0,2,2,2,3,1,1,0,2,4,2,3,1,4,4,4,5,1,5,1,5,1,5,1,4,5,5,2,3,3,5,1,4,4,4,5
