Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	Q20A	Q20I	Q20E	Q21A	Q21I	Q21E	Q22A	Q22I	Q22E	Q23A	Q23I	Q23E	Q24A	Q24I	Q24E	Q25A	Q25I	Q25E	Q26A	Q26I	Q26E	Q27A	Q27I	Q27E	Q28A	Q28I	Q28E	Q29A	Q29I	Q29E	Q30A	Q30I	Q30E	Q31A	Q31I	Q31E	Q32A	Q32I	Q32E	Q33A	Q33I	Q33E	Q34A	Q34I	Q34E	Q35A	Q35I	Q35E	Q36A	Q36I	Q36E	Q37A	Q37I	Q37E	Q38A	Q38I	Q38E	Q39A	Q39I	Q39E	Q40A	Q40I	Q40E	Q41A	Q41I	Q41E	Q42A	Q42I	Q42E	Q43A	Q43I	Q43E	Q44A	Q44I	Q44E	Q45A	Q45I	Q45E	Q46A	Q46I	Q46E	Q47A	Q47I	Q47E	Q48A	Q48I	Q48E	Q49A	Q49I	Q49E	Q50A	Q50I	Q50E	Q51A	Q51I	Q51E	Q52A	Q52I	Q52E	Q53A	Q53I	Q53E	Q54A	Q54I	Q54E	Q55A	Q55I	Q55E	Q56A	Q56I	Q56E	T1A	T1I	T1E	T2A	T2I	T2E	T3A	T3I	T3E	T4A	T4I	T4E	T5A	T5I	T5E	T6A	T6I	T6E	country	introelapse	testelapse	surveyelapse	uniquenetworklocation	screensize	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	hand	religion	orientation	race	voted	married	familysize	major	drug1	drug2	drug3	drug4	drug5	drug6	drug7	drug8	drug9
3	7	6126	3	2	3420	4	22	3191	4	46	4637	2	12	4589	4	49	2295	4	13	3133	3	34	4058	3	3	4072	4	43	5525	4	31	6291	4	50	2948	2	27	3148	4	47	5227	3	20	17290	4	21	5887	2	38	5290	2	14	4286	3	56	4344	2	37	3353	1	15	3468	4	9	3383	3	19	29064	3	23	5568	2	53	3986	3	55	6457	2	18	4752	3	26	7122	2	10	4316	2	28	2384	3	35	32147	3	41	3487	4	44	2594	2	1	10710	4	32	3057	2	33	3002	1	4	4212	2	39	6353	4	40	4536	4	30	5722	2	51	3368	4	29	4682	4	17	5112	3	45	27818	2	8	4792	4	25	2691	4	6	2806	4	11	4707	4	36	4696	3	54	3299	4	48	3768	4	5	3722	4	16	2443	4	24	4367	3	42	5495	4	52	2763	1	60	4543	1	61	6273	2	59	9025	1	57	6425	1	58	7770	2	62	3968	US	17	371	227	1	2	1	1	6	5	7	4	7	1	5	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	4	1	1	1	40	1	1	2	6	1	2	3	Statistics 	2	0	0	0	3	3	2	0	0
3	34	6782	2	26	5011	3	17	7532	4	3	3465	1	43	4305	4	47	2227	3	33	6715	2	54	8988	2	25	4033	3	12	9683	1	6	9481	4	48	3609	1	44	2889	3	13	9049	2	40	8631	4	9	7811	3	21	12798	3	28	7704	3	36	12766	2	20	5015	2	53	5094	3	15	4001	3	49	7237	4	39	4964	2	31	3808	2	8	10848	2	41	12741	3	18	8758	3	35	4822	4	55	4290	4	4	4810	4	32	7225	4	37	5368	3	19	6652	4	50	6184	2	14	2815	3	22	14645	1	7	10089	4	38	6371	4	27	12937	4	42	3024	3	5	31859	4	16	5958	4	52	12588	3	30	11380	4	46	3193	2	23	3740	2	11	8861	4	24	21750	3	2	10064	4	56	5528	3	45	4122	4	1	4928	3	29	11862	4	51	8393	4	10	4007	2	59	9808	1	58	5523	2	60	10156	1	61	6872	2	57	16436	1	62	8986	BR	30	493	326	1	1	1	5	4	2	7	7	5	3	7	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	3	1	2	24	1	6	1	7	1	1	4	Computer Science	0	0	0	0	0	0	0	0	0
3	40	4437	3	19	1980	4	20	2095	3	41	905	3	31	4129	4	49	1385	4	12	1670	3	14	2901	2	29	1769	3	10	2668	3	38	1791	3	3	2604	2	18	2312	3	37	3405	2	28	2393	4	6	2797	3	27	3462	2	35	1857	4	8	2236	3	2	2852	3	5	2705	2	33	2392	3	24	2833	3	25	4305	3	16	2016	4	45	2272	3	13	3117	3	43	2370	3	36	2307	4	47	1815	2	23	2490	3	51	2608	4	15	2790	2	21	3855	4	52	1695	2	7	1915	4	22	6132	2	54	4175	2	50	3299	2	34	2663	3	32	1800	4	39	3558	4	56	2204	3	42	5284	4	11	4350	4	53	1688	4	4	1595	4	48	2732	4	1	3677	3	9	2602	4	17	2219	4	26	2274	4	44	1894	4	46	5099	2	30	4372	3	55	1995	1	62	3978	1	60	4173	2	57	6945	1	59	3736	2	61	3464	2	58	3859	GB	28	182	140	1	2	6	6	6	6	6	2	7	5	6	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	4	2	2	1	24	3	4	1	6	2	1	2	Pharmacy	2	0	0	0	0	0	0	0	0
3	50	3135	2	25	5546	3	52	2331	4	12	4436	3	7	2543	4	27	2271	3	26	2656	3	44	3001	2	33	5859	4	14	3480	2	5	3764	4	28	2075	2	9	1763	3	22	3742	3	13	2615	3	55	3886	2	42	12475	3	6	1773	3	31	2817	2	23	4073	2	54	2758	2	8	2305	3	51	2284	3	38	3483	3	41	3381	2	39	5609	2	48	14147	3	4	2976	3	24	2597	2	35	2103	4	2	4053	4	45	2003	4	16	3262	3	36	3513	4	3	1471	4	49	1923	3	40	2871	2	20	9342	3	18	3449	3	21	3567	3	19	2035	4	56	4034	3	46	6090	3	47	2756	1	37	3912	3	32	2382	3	17	10700	2	15	5061	4	29	3706	2	53	2696	3	34	3582	3	1	5506	4	43	1961	3	11	3012	3	10	6027	2	30	3058	1	59	4407	1	60	4323	2	57	6599	2	58	8952	1	61	8707	1	62	2271	US	243	254	275	1	2	1	5	6	1	7	6	6	5	7	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	3	1	1	1	52	3	12	1	6	2	3	1	psychology	1	0	2	1	0	0	2	0	0
4	14	4633	3	35	5683	2	15	5045	3	8	4460	4	38	3816	2	40	3411	4	39	2867	2	33	3334	2	56	2278	3	27	13961	3	2	9682	3	22	5080	2	18	3850	3	16	6289	2	49	11882	3	3	21689	2	11	8203	1	51	2530	3	1	6282	2	17	7067	2	44	7717	2	52	25910	2	4	10253	3	24	5865	3	30	4143	2	55	4515	3	53	6676	3	26	7498	2	32	13335	2	43	4487	1	23	4001	3	9	6833	3	48	9089	3	46	4801	2	45	6950	2	42	2962	2	54	4935	1	28	10888	1	5	5338	4	13	4951	4	37	3485	3	34	9233	4	36	4199	2	47	4097	3	31	22130	3	50	2133	4	12	3967	1	41	4706	4	25	5959	4	19	3211	3	10	2895	3	20	7205	3	7	4027	2	21	7936	3	29	11939	4	6	2578	1	58	2982	2	57	5828	2	62	6032	1	61	6088	2	59	9252	2	60	2690	NONE	739	417	226	1	2	2	1	7	5	7	7	2	5	6	2	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	2	1	17	1	2	1	6	2	1	2		0	0	0	0	0	0	2	0	0
2	31	10550	3	19	15350	3	7	6045	4	44	11233	3	29	2676	4	15	3509	4	33	3227	3	30	3434	4	55	2407	4	50	5144	2	21	17930	3	56	5301	3	12	2805	4	6	16281	2	53	22725	2	25	14607	3	51	17619	3	27	11165	3	20	6090	2	17	46673	2	49	17873	3	3	13385	3	34	11690	3	14	13506	2	36	3813	2	1	25744	2	9	16166	2	32	16597	3	45	23977	3	38	13430	3	42	15801	3	26	3047	3	52	11876	2	5	5522	4	13	10714	4	28	9673	2	40	12318	2	39	11419	3	46	6497	3	10	34842	3	41	2964	2	54	8822	3	43	6145	4	2	28891	4	23	16749	3	24	4095	3	18	4169	2	16	6768	3	37	4246	4	4	3740	3	47	12332	4	11	4896	4	8	3083	4	35	4890	2	48	14627	4	22	9540	1	58	6254	2	62	16961	2	57	30177	2	61	27530	2	60	7086	2	59	42200	RU	4	769	377	2	2	6	4	4	4	6	2	6	4	2	1	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	4	3	2	2	27	1	12	1	6	1	1	2	marketing	3	1	1	1	1	1	2	1	1
1	11	2450	1	56	2250	2	36	2869	4	16	1574	2	22	2988	2	53	2323	3	6	1522	2	44	4271	4	17	1743	1	43	2263	3	2	5223	3	42	2321	3	34	2093	3	40	3690	3	1	4340	3	49	2568	3	20	3616	3	51	1740	3	18	2953	3	10	6330	1	55	2207	3	28	1927	3	54	3734	4	31	1970	3	32	3546	4	26	3815	1	19	3183	3	24	3637	1	25	2075	1	8	2069	1	23	4165	3	4	4326	3	35	2708	1	29	4071	3	45	2554	1	21	2304	1	41	3331	1	38	7492	1	14	4440	1	48	3068	2	9	2314	2	3	4003	3	39	6030	2	47	5533	3	7	4335	3	50	1986	1	46	2329	4	30	2323	3	52	7676	4	12	2002	4	33	2315	4	37	1756	3	5	1438	4	15	2664	4	13	3209	4	27	1065	2	59	1981	1	61	3938	2	60	5808	1	58	2258	1	62	3171	2	57	2182	AU	2	197	119	1	2	6	1	6	7	6	6	7	1	2	6	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	3	2	2	1	22	1	1	2	6	1	1	2	science	0	0	0	0	0	0	0	0	0
4	42	14995	4	50	4820	3	48	7371	4	40	4304	2	6	3418	4	34	3355	3	12	11341	2	29	5437	3	54	68768	1	19	5089	1	23	4894	3	35	3984	2	30	2783	4	33	9554	2	32	16374	4	14	3579	3	5	10037	3	36	2468	2	55	4799	4	25	8869	2	31	3717	2	8	21435	3	46	10021	4	15	3025	2	43	3018	4	41	2933	2	28	5786	3	18	12934	3	20	4351	3	51	5050	3	52	6355	4	37	2338	3	7	7220	4	10	3585	4	44	3834	3	27	4017	3	38	4958	2	26	7988	4	53	3266	4	56	8071	3	24	5145	4	4	3820	2	9	4777	2	3	11521	2	47	6952	4	39	2288	3	21	2703	4	49	11737	1	17	8823	2	16	2466	4	22	6534	2	11	3385	3	13	4482	3	2	7018	3	1	20841	2	45	3019	1	59	7673	2	58	6112	2	60	6152	1	57	15237	1	62	6888	1	61	5417	UA	32	474	264	1	1	1	7	1	1	7	6	5	6	7	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	4	3	1	2	20	1	10	1	1	2	1	2	General medicine	0	0	0	0	0	0	0	0	0
2	11	6131	4	32	2439	3	45	2703	4	55	3309	4	37	2143	4	41	1991	4	12	2580	4	7	2856	4	29	2419	4	52	3127	4	35	3055	3	9	3066	2	10	2269	4	40	2823	3	16	4560	3	28	4344	3	1	8541	3	53	2385	3	48	2991	3	14	3585	2	4	3340	3	17	2187	3	39	3941	3	54	3432	3	46	3206	4	43	4581	2	6	7343	3	34	4011	3	38	3863	2	19	3828	2	56	3825	3	30	2818	4	3	3632	2	23	3650	3	5	2790	3	22	2156	2	2	5101	4	18	4129	3	20	3951	3	26	3697	4	36	2495	3	44	4544	2	31	3344	4	13	3964	1	21	4097	3	33	2906	3	24	2932	3	49	4651	4	25	5136	4	47	3084	3	51	3632	4	42	2109	3	15	2255	1	8	4143	3	50	5110	2	27	3777	1	59	4290	1	57	12312	2	60	5268	2	58	4547	2	61	5090	2	62	5623	CA	14	239	196	1	1	5	5	7	7	7	4	6	1	6	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	3	1	2	1	38	2	3	1	6	1	2	2	Education	2	0	0	0	0	0	1	3	0
2	20	5189	2	3	5160	2	36	9276	1	16	5688	1	37	3105	2	14	3714	4	27	10661	2	51	5281	1	32	3543	1	18	8137	1	8	8576	3	56	4610	1	45	9442	2	49	9308	3	19	21811	2	53	9647	2	15	10351	2	11	18333	3	2	18963	1	39	17770	1	31	6834	3	7	7701	1	48	4129	3	46	5180	2	22	8223	2	44	17794	1	55	7599	1	29	6400	1	23	4027	2	43	6240	3	42	4184	4	21	3478	3	47	11707	1	13	4163	4	54	8509	1	50	2722	3	26	16613	1	40	12454	1	1	22820	1	9	6866	3	30	8104	1	24	9770	4	10	14965	4	35	7751	4	28	5945	3	33	5813	1	52	3163	3	6	9673	4	34	8836	3	25	12110	4	38	3204	2	17	3186	3	41	8280	4	5	5415	1	12	31123	1	4	4946	2	60	6297	2	57	5553	2	62	4776	1	58	5376	2	61	11643	2	59	5011	US	71	538	222	1	1	1	3	5	6	5	5	5	3	3	2	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	3	2	1	1	28	1	2	1	6	1	1	2	Psychology	2	0	0	2	0	0	4	0	0
3	51	2852	2	39	53968	3	8	1937	3	42	1310	3	32	1758	3	47	1652	3	44	1624	3	29	1602	3	6	2346	3	37	2809	2	30	2515	3	15	1507	3	40	2249	3	41	3452	2	20	2645	2	35	4215	2	2	5576	3	55	1625	3	4	3532	3	46	2633	1	22	2493	4	34	1879	3	18	4064	3	38	5043	3	33	2279	2	17	6122	2	52	2955	3	14	4460	3	54	2106	4	25	2300	3	12	3404	4	26	2268	4	9	2107	3	53	2473	4	7	1754	3	16	14921	4	48	2123	3	31	2751	3	21	2926	3	27	2271	3	36	1752	3	43	2276	3	56	2154	3	13	2213	2	45	2663	3	19	8420	2	50	3133	3	5	3034	4	3	5579	3	24	1656	3	28	2137	3	23	2713	4	10	1363	2	1	5561	4	11	3368	3	49	1580	1	61	1595	1	60	2302	2	62	2984	1	57	3232	1	59	2868	1	58	3843	US	3	240	92	1	2	6	6	5	3	7	2	5	5	6	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	3	2	2	14	1	2	2	1	2	1	1	N/A	0	0	0	0	0	0	0	0	0
4	17	3639	3	40	8208	4	21	3566	4	15	2769	3	56	3334	4	5	2894	4	26	3822	4	13	4543	2	44	8365	4	16	4931	2	45	6293	3	52	3807	4	19	2968	4	34	4545	2	47	6685	3	42	11209	3	39	14975	4	20	2750	2	33	9101	1	32	5883	1	9	9314	3	30	4907	2	51	9025	2	49	5134	4	50	5458	3	3	6393	3	43	5019	4	54	10209	4	27	3129	4	14	4307	3	48	6061	4	18	2987	3	46	4310	3	22	5405	4	28	2592	4	35	1960	3	8	7218	4	2	8346	1	55	4748	4	6	4345	1	1	5001	4	25	5208	2	53	6482	3	41	4915	1	11	9065	1	23	6262	3	37	3569	2	31	10118	4	29	5526	2	36	3493	2	10	8136	3	4	5838	4	7	4106	3	24	12679	1	38	9779	2	12	3600	1	62	5436	2	60	7667	2	61	23072	2	58	7269	2	59	10987	1	57	6525	PL	38	393	359	1	2	7	7	7	5	7	1	3	1	3	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	4	3	2	2	32	1	1	1	6	1	1	2	management	0	3	0	0	0	0	2	0	0
4	37	2482	4	55	2555	4	46	2871	3	8	3129	3	50	2483	1	41	3164	3	56	2745	3	44	2678	4	31	2429	4	13	3351	4	43	4841	2	20	6124	4	17	2350	4	24	4351	2	16	5347	1	18	3485	3	35	7804	1	1	3935	3	25	3165	3	6	7352	2	9	4320	1	48	4722	2	21	4134	3	19	4672	3	49	3229	2	38	5770	2	26	7019	4	54	4696	1	22	5133	3	30	3475	1	53	6406	4	42	7378	3	33	4530	4	52	3294	2	36	2842	4	10	2068	3	5	4023	4	27	5565	1	34	5079	4	2	4120	4	15	2374	4	23	4232	2	29	4377	2	4	5602	1	14	3792	3	32	2958	4	45	2511	1	3	5298	2	39	7100	2	7	3534	3	11	3850	2	51	2636	2	47	3299	3	40	5338	2	12	6632	2	28	2706	1	58	3444	1	61	5464	1	62	17602	2	57	4973	1	60	6384	1	59	3084	US	1	277	228	1	1	7	5	2	1	6	1	5	6	5	6	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	3	2	2	1	22	2	6	2	7	2	1	1	Economics	3	2	0	3	0	0	2	1	0
2	24	3420	3	23	3764	2	7	4376	4	18	3016	2	52	3022	4	5	2521	2	37	2940	2	13	2850	3	4	3346	2	21	4358	1	45	3499	3	10	6699	2	27	2597	3	26	6010	2	53	4877	4	41	5768	2	14	4167	3	51	2294	3	43	4125	3	25	4766	3	30	4056	3	49	4776	3	22	9252	4	42	4592	3	3	3226	4	47	3488	4	48	6958	3	40	8736	3	32	7363	3	35	3589	2	15	6907	2	19	4803	2	31	7597	3	8	7570	4	44	2222	2	9	1927	2	20	3302	1	17	10626	3	54	5449	3	6	4373	3	11	2413	3	1	13971	3	46	6120	4	38	11295	2	36	9483	3	28	3256	3	55	2772	3	12	3645	4	34	6355	2	29	2496	2	33	4099	2	56	6061	3	16	1928	2	39	7904	3	2	16214	3	50	3155	2	57	5362	1	58	5192	2	59	17444	1	60	5797	2	61	6420	2	62	4849	AU	10	337	234	1	1	5	3	6	5	6	6	6	6	3	2	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	3	2	2	2	36	1	3	1	1	2	1	4	Design	1	0	0	0	0	0	2	0	0
3	16	4436	4	32	2365	3	52	3267	3	38	4730	3	47	2396	3	50	2073	3	27	2579	2	44	3210	3	12	2839	3	48	4669	2	2	5972	3	31	2915	4	28	1845	3	4	3341	3	7	5285	3	26	4092	3	23	36091	2	43	3201	3	54	4206	2	40	3590	2	49	4210	2	17	5200	3	15	4099	3	53	4683	3	34	2781	3	8	5903	3	33	3312	3	3	5841	1	24	4086	4	46	2971	3	6	3580	3	45	4408	3	13	6356	3	19	4188	3	29	2034	2	42	4053	4	41	3208	1	18	7302	2	14	5140	1	55	6837	3	21	3248	4	39	4020	2	56	4092	4	11	4132	2	25	4873	4	22	2742	2	1	9595	3	36	5140	3	30	4767	4	20	3116	4	51	2743	3	37	3369	3	35	1996	3	9	5888	2	10	5295	4	5	2300	1	59	3163	2	60	4875	2	61	6044	2	57	4896	1	58	14298	2	62	2587	US	6	297	186	1	1	6	7	4	5	6	5	6	5	6	3	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	1	1	18	1	7	1	3	2	1	4		2	0	0	0	0	0	2	0	0
2	26	7047	3	16	2797	2	39	4624	3	37	2345	2	31	3065	3	24	1995	3	36	3400	3	11	5906	2	23	6028	2	20	6447	2	55	3648	3	53	3267	2	56	2379	3	35	5509	2	13	7102	3	10	8180	3	2	6646	1	22	2839	3	7	6446	2	14	3111	2	18	2850	2	25	3430	3	32	3591	3	28	7578	2	17	4771	3	15	19674	2	1	16738	2	33	4284	2	50	3039	3	19	3653	4	5	4740	3	49	3415	4	8	3736	3	47	4145	3	45	2429	2	27	2865	3	42	4597	2	29	6356	2	4	6837	2	46	7139	3	34	2528	2	52	13619	3	54	4981	3	51	3892	2	12	8301	2	21	2533	2	6	5295	3	43	6126	2	3	8907	3	30	3037	3	44	4599	4	40	3068	3	41	1985	3	9	4890	3	38	5687	3	48	2125	1	58	3944	1	59	7041	2	61	8142	1	60	6508	1	57	20582	2	62	2936	EE	269	341	255	1	2	2	5	3	6	6	5	6	6	3	2	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	2	3	2	2	25	1	1	2	6	1	1	5		2	0	0	3	0	0	2	2	0
2	1	8089	2	55	2267	2	32	7083	3	2	5732	2	41	2734	4	23	1612	2	16	2228	2	18	2448	2	4	3938	2	19	11736	3	37	2983	4	30	2901	3	11	2835	3	43	4867	3	20	4234	2	48	5784	2	52	6563	3	40	2896	2	38	6591	4	24	3374	1	29	4649	3	17	2989	3	33	3702	3	7	10601	2	46	2720	2	14	10980	2	28	4902	3	47	4784	3	51	4735	3	9	2999	3	34	7664	3	8	4335	3	44	4916	3	39	6101	4	22	2552	3	26	3085	3	49	4366	2	54	7768	3	5	5950	3	10	4184	4	56	3016	3	42	6166	4	45	3296	4	21	3228	3	25	7083	3	53	2703	2	3	6414	3	13	2899	3	15	6274	3	12	2414	4	6	4166	4	35	2868	4	36	1531	3	27	4600	4	50	5584	4	31	1798	2	60	5351	1	61	7649	2	59	8431	1	62	5157	2	58	5732	1	57	6418	US	35	298	2518	1	1	2	2	7	5	6	5	6	1	3	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	2	3	2	1	51	1	12	5	6	1	2	4	Psychology	2	0	0	0	0	0	3	0	0
3	34	4743	3	2	4253	3	3	9610	3	48	2436	2	21	2731	3	1	7254	3	54	2957	2	22	6696	3	43	2615	3	11	5804	2	50	17785	3	15	2978	3	9	2449	4	31	3651	3	55	5357	3	5	6362	2	10	15136	3	37	2172	3	7	2927	3	19	5872	1	8	4482	3	14	3055	3	47	4273	3	36	5701	2	45	3889	3	29	4213	2	6	10513	3	18	5749	3	49	2819	2	46	4121	3	39	7499	3	28	4162	4	20	2924	2	4	4373	3	13	5314	2	56	2142	2	25	5941	3	16	10096	4	40	4740	3	12	3642	3	53	2363	3	35	10925	3	38	5916	3	42	3591	3	41	23087	4	23	2800	3	32	2997	3	24	4536	4	27	3270	3	17	3065	3	52	3556	3	51	2132	4	44	1902	2	33	4404	3	30	6383	3	26	2472	1	61	4357	2	60	5956	2	62	6061	1	58	5186	2	59	23948	2	57	10017	IN	6	354	169	1	1	2	6	5	7	6	3	6	5	3	2	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	1	2	18	1	8	1	1	2	1	2		0	0	0	0	0	0	0	0	0
3	22	3892	2	25	4168	3	20	4284	4	3	3463	2	30	3473	4	34	3055	2	55	4129	1	49	5565	2	51	2693	2	50	4834	2	9	4150	4	52	4315	3	17	2730	2	23	7341	2	6	3975	4	5	7003	2	29	4360	3	28	3959	1	12	4115	3	18	3827	2	16	3724	3	56	3323	3	14	3694	4	54	3884	1	43	3295	3	46	5154	1	32	3192	1	7	6119	3	39	3237	2	4	3470	2	45	5857	4	13	3716	4	40	3130	3	41	3738	3	42	3149	2	53	2959	3	1	6330	3	11	8490	2	35	6067	2	48	4386	2	24	5401	3	37	5755	3	15	5145	3	44	3681	3	19	4635	3	10	2831	2	38	2708	3	26	7382	3	36	7387	4	8	4636	3	21	7377	2	2	9376	3	27	3391	3	31	5903	4	47	12046	4	33	2818	2	58	7942	2	61	8933	2	62	6576	2	59	7163	2	57	5813	2	60	3488	DE	2	304	225	1	2	1	3	7	3	6	5	4	2	6	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	3	2	1	2	36	1	2	1	6	1	1	1	Library and Information Science	2	0	0	0	0	0	2	0	0
2	56	6399	2	34	5417	4	41	3773	4	40	90322	2	31	3156	2	54	2664	2	42	4517	3	27	2711	2	47	6830	2	24	3439	3	46	4405	2	55	4715	1	18	3179	3	9	5003	2	8	51557	2	43	4848	2	26	6859	3	30	2847	3	37	2850	2	4	76414	2	7	3010	1	35	96152	2	33	51106	4	14	3500	3	15	4783	3	6	10490	2	49	4378	3	32	5465	2	39	8761	3	22	3253	3	12	11980	3	52	2557	3	38	25353	2	11	6030	3	23	4844	2	21	3677	3	51	6737	3	13	4533	3	25	4411	3	5	8680	3	36	11651	4	2	5012	2	53	6113	3	28	13997	3	19	11982	4	1	3980	3	3	2647	3	10	7732	3	20	4570	3	16	3978	4	44	8430	3	17	28901	3	48	38706	4	45	18529	3	50	8025	4	29	27852	2	62	9215	2	61	10427	2	60	5142	1	59	15203	2	58	8807	1	57	4631	US	350	819	329	1	2	2	6	3	6	5	5	5	7	3	2	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	3	3	2	1	31	1	2	1	6	1	2	2	crimonology	4	2	0	0	2	0	2	3	0
3	48	2319	4	3	2155	3	4	3264	4	14	2327	4	33	2513	2	19	2117	4	23	1566	3	20	2319	4	44	1758	4	22	2896	2	40	3587	2	38	3308	4	12	1757	3	32	3185	2	34	3351	2	56	2866	2	16	2930	1	55	2052	3	30	2785	2	1	5844	3	50	3105	3	46	2632	4	54	3451	4	45	2719	3	28	2146	3	41	4702	3	25	3080	3	53	3453	4	2	2816	3	51	2934	2	15	2698	3	47	3688	3	6	3711	4	10	3173	4	49	3109	3	29	1661	2	17	2468	3	42	3564	3	27	3495	4	24	3408	4	52	2335	4	11	3808	2	9	3059	3	5	3844	2	35	4336	1	37	2043	2	26	2988	1	21	2653	1	39	3251	2	13	2439	2	36	2636	2	7	2464	3	43	2610	2	31	4138	2	8	4775	3	18	2181	1	60	3419	1	57	4072	1	61	4843	2	59	3723	1	62	4404	1	58	4655	US	10	193	141	1	1	6	3	5	1	6	3	6	5	6	4	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	3	1	1	1	24	1	4	1	6	1	1	4	Business	1	0	0	0	0	0	2	0	0
3	19	8727	2	55	2248	4	13	3664	3	21	3880	1	50	1936	3	17	4478	2	51	4289	2	47	2335	2	49	2847	3	15	4640	1	44	3335	2	28	4343	2	3	2984	4	5	4840	2	38	4314	3	18	8784	2	25	6632	3	12	6815	2	39	4048	3	7	3888	3	11	6449	3	35	5791	4	2	3935	3	22	6224	1	26	4672	4	14	3648	4	36	4880	3	1	15074	3	24	6487	3	53	3304	2	31	5528	3	29	2968	3	30	3968	4	40	6352	3	6	4584	4	41	2120	2	56	4128	2	54	6511	2	4	10881	4	42	3336	4	48	2800	3	8	4799	2	46	6384	3	10	6320	3	33	6801	3	37	3495	2	9	8872	2	34	4184	4	52	3783	1	20	7665	3	45	3889	4	27	3256	4	43	1576	3	23	8815	3	32	6678	4	16	2552	2	62	4712	2	57	6080	2	60	22759	1	59	6704	2	58	6399	1	61	6055	LT	4	335	167	1	2	2	6	5	1	4	5	5	2	6	3	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	1	2	23	1	12	1	6	1	1	2		0	0	0	0	0	0	0	0	0
2	51	4663	4	15	2448	4	31	3552	4	35	8369	1	27	3156	3	11	2346	4	22	3419	3	55	2795	1	50	1955	2	18	4511	1	10	5206	3	47	3138	1	28	1969	4	17	3529	3	56	5908	3	33	2150	2	46	6975	3	32	2387	3	39	4948	4	24	3863	1	45	2919	3	1	7394	3	12	3776	3	42	4445	3	2	3617	1	40	3935	1	29	3309	3	30	3519	1	26	4669	4	38	2272	4	23	6144	2	25	3622	3	37	4972	2	7	7217	3	16	2657	1	53	2158	4	34	4252	1	14	4857	3	5	6701	2	52	8789	3	36	2344	3	20	5977	4	21	4918	4	54	4480	3	19	6937	4	43	2775	4	8	2498	3	13	3794	4	41	4142	3	4	6346	4	6	2786	3	48	2544	2	9	3187	2	3	6493	4	44	4828	3	49	5474	2	60	3458	2	58	4254	1	62	19294	1	61	4696	1	57	4613	2	59	2487	PH	6	278	164	1	1	2	7	3	6	5	7	5	3	1	6	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	2	3	2	2	18	1	1	3	1	1	1	6	nursing	0	0	0	0	0	0	0	0	0
