Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	Q20A	Q20I	Q20E	Q21A	Q21I	Q21E	Q22A	Q22I	Q22E	Q23A	Q23I	Q23E	Q24A	Q24I	Q24E	Q25A	Q25I	Q25E	Q26A	Q26I	Q26E	Q27A	Q27I	Q27E	Q28A	Q28I	Q28E	Q29A	Q29I	Q29E	Q30A	Q30I	Q30E	Q31A	Q31I	Q31E	Q32A	Q32I	Q32E	Q33A	Q33I	Q33E	Q34A	Q34I	Q34E	Q35A	Q35I	Q35E	Q36A	Q36I	Q36E	Q37A	Q37I	Q37E	Q38A	Q38I	Q38E	Q39A	Q39I	Q39E	Q40A	Q40I	Q40E	Q41A	Q41I	Q41E	Q42A	Q42I	Q42E	Q43A	Q43I	Q43E	Q44A	Q44I	Q44E	Q45A	Q45I	Q45E	Q46A	Q46I	Q46E	Q47A	Q47I	Q47E	Q48A	Q48I	Q48E	Q49A	Q49I	Q49E	Q50A	Q50I	Q50E	Q51A	Q51I	Q51E	Q52A	Q52I	Q52E	Q53A	Q53I	Q53E	Q54A	Q54I	Q54E	Q55A	Q55I	Q55E	Q56A	Q56I	Q56E	T1A	T1I	T1E	T2A	T2I	T2E	T3A	T3I	T3E	T4A	T4I	T4E	T5A	T5I	T5E	T6A	T6I	T6E	country	introelapse	testelapse	surveyelapse	uniquenetworklocation	screensize	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	hand	religion	orientation	race	voted	married	familysize	major	drug1	drug2	drug3	drug4	drug5	drug6	drug7	drug8	drug9
1	9	4066	2	23	3975	1	33	5616	3	8	4990	4	35	2006	2	2	2939	2	29	4151	2	10	3403	3	17	2974	2	41	3778	1	4	4400	3	13	4958	3	1	4213	3	15	6823	3	51	2900	3	26	2818	1	11	3487	2	37	2329	3	46	5322	2	43	2369	2	5	4983	2	24	16512	3	50	2476	1	16	10202	1	19	4263	4	3	3889	2	45	2963	4	18	3868	2	27	2566	2	21	3330	3	53	4411	2	48	2176	4	6	2263	3	30	3574	2	56	3342	2	22	2740	4	20	4227	2	34	5671	1	52	4287	4	12	5885	4	54	2427	4	25	4612	4	7	2440	4	55	2468	2	39	4731	3	47	3312	2	49	1661	2	44	5157	2	36	3763	4	42	2300	2	28	4796	3	40	3838	2	38	1608	2	32	4048	4	14	5185	4	31	1642	2	58	3544	1	59	6997	2	62	6541	1	57	5736	2	61	16154	2	60	3434	US	553	267	188	1	2	3	2	7	5	5	6	7	1	7	3	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	3	1	0	26	1	4	1	7	2	1	3	psychology	0	0	0	0	0	0	0	0	0
2	49	8988	3	50	2579	3	38	5121	4	8	4714	3	10	7338	1	9	2436	2	54	3935	3	1	9173	3	15	5121	3	42	6111	2	5	4111	3	32	4654	1	22	2668	4	27	5699	3	2	4873	4	23	3979	3	55	3899	3	31	2711	3	56	2960	2	17	2784	2	44	5592	2	45	3501	3	40	8799	3	39	4202	4	19	2942	3	18	20959	1	51	5168	4	29	2446	1	37	4468	3	36	11998	4	12	4830	4	28	1426	4	21	2739	3	16	3891	3	11	2718	4	20	1825	4	14	5823	1	33	4022	3	3	5377	4	26	3421	4	7	3233	4	25	4254	1	47	5388	3	30	9846	1	35	3731	3	24	3722	3	13	6842	1	48	3544	2	34	9166	2	4	2612	2	41	4599	2	53	2961	2	46	2162	3	52	3935	1	6	5893	1	43	7370	1	62	5319	1	59	12782	2	61	9147	1	57	5362	1	60	6063	1	58	2951	US	4	321	167	1	2	3	5	6	5	6	7	4	7	6	5	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	4	3	2	1	47	1	2	1	6	1	3	6	criminal justice	1	0	0	3	0	0	2	1	0
1	49	3374	3	52	4107	4	10	3102	2	35	4686	1	37	3583	4	3	2997	4	54	2843	2	4	2943	2	26	3261	4	21	7321	2	30	7142	4	9	2808	1	1	4084	3	45	6401	1	8	6108	1	38	6321	1	24	5923	1	34	2412	1	48	2796	1	15	6264	1	19	3361	2	22	26536	3	36	6345	2	51	4530	1	7	3161	4	28	5448	1	31	7438	2	14	4068	4	5	3075	3	20	4192	1	32	16834	4	41	2767	4	46	3289	4	17	4020	4	33	2756	3	6	2761	4	50	4506	2	25	12655	3	53	5958	3	2	7642	4	42	2947	4	40	5734	4	27	5614	3	23	5659	1	55	4527	4	47	3730	3	13	4196	2	43	5084	4	29	5913	1	18	3437	4	12	3826	2	16	6716	4	11	2016	4	56	7065	4	39	8629	1	44	5000	1	61	3860	1	62	5663	2	60	8779	2	59	4503	2	58	12626	1	57	3535	BE	23	342	328	1	1	2	6	5	1	7	5	2	6	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	1	2	2	18	1	2	2	6	2	1	4		2	0	0	0	0	0	2	0	0
2	51	2884	2	5	4880	4	33	3918	3	36	3909	2	12	5330	3	48	3211	2	6	5473	2	27	2528	2	37	3368	2	23	3899	2	42	4720	3	16	3396	2	52	3113	3	46	4474	3	45	5645	3	9	3159	4	18	3998	2	29	4443	3	21	3267	3	32	3360	3	30	3252	3	15	6180	3	50	3777	4	4	4720	3	40	2763	3	47	3892	3	19	6999	2	38	4203	3	11	4237	3	25	3026	3	1	4329	2	14	7065	3	10	5543	2	41	7915	3	39	2465	2	56	4331	3	55	3443	2	24	5087	3	49	4961	2	35	9703	3	43	5213	3	44	5540	3	31	4210	3	54	3959	2	22	8084	3	8	3029	3	7	3042	3	20	4782	3	2	4435	3	53	2505	3	17	3331	4	26	4006	4	3	4712	3	28	3863	3	13	4388	3	34	2240	2	58	4127	1	62	4860	2	61	6373	1	60	3991	2	57	5805	2	59	3690	US	3	273	191	1	2	3	3	6	6	2	5	6	3	3	3	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	3	2	2	1	43	1	7	1	7	1	2	2	rehabilitation studies	1	0	0	2	0	0	2	1	0
2	33	1528520	3	42	1416	2	53	2172	2	40	1818	2	55	1634	2	28	2183	3	2	2728	2	41	1632	3	14	1698	3	5	2599	2	39	2199	3	50	1816	3	12	2599	3	51	2329	3	3	4203	3	35	2564	3	43	2320	2	1	6598	3	31	1666	2	37	3818	2	34	3858	3	47	1602	2	44	1232828	4	18	2334	3	6	1635	3	36	2800	2	45	5261	3	21	2153	2	7	13067	2	20	2384	3	32	1982	3	19	5833	2	24	3535	2	48	2299	3	30	1917	2	16	2000	2	52	3013	1	15	4735	2	17	2683	3	11	3083	3	26	2051	2	8	3933	3	49	3851	2	23	2801	3	56	2313	3	13	1467	2	25	2415	3	27	3633	3	4	4049	3	22	4649	3	46	1715	3	54	1886	3	9	1467	2	38	3646	3	29	2766901	3	10	2801	2	58	3447	1	59	4570	2	60	3196	1	62	4603	2	61	4352	2	57	2400	US	3	5708	699	1	1	1	5	5	7	6	2	3	7	2	3	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	1	28	1	1	1	6	1	1	2	General ed	0	0	0	0	0	0	0	0	0
3	28	7349	3	17	2662	2	45	4330	1	52	4967	2	5	2954	2	34	2850	4	1	3337	4	23	3566	2	26	3133	4	49	3913	1	46	3693	4	3	3345	2	42	2365	3	53	10862	3	37	7340	4	14	7587	3	2	12082	3	4	4836	3	38	4766	3	32	4370	1	43	2630	3	44	4556	3	47	3777	3	11	6850	2	56	7364	3	18	5359	1	21	4765	2	12	8838	3	39	4786	2	50	3017	3	13	4745	3	54	3072	2	33	3467	2	30	4294	3	24	2552	4	19	2700	1	20	3115	2	31	6973	1	40	3347	2	51	3466	2	29	3382	2	6	13485	3	25	4268	4	16	4762	2	36	16783	4	41	2050	1	55	4987	2	48	3987	3	27	5167	3	22	2886	4	35	2898	2	8	4298	3	9	3447	1	15	4136	2	10	5687	3	7	29471	1	58	5114	1	57	5052	2	59	11268	2	62	4306	2	60	6149	1	61	3730	US	2	337	128	1	1	2	5	4	2	7	7	5	3	5	3	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	3	1	1	17	1	2	2	6	2	1	2		0	0	0	0	0	0	0	0	0
3	38	5081	3	21	9645	3	5	14531	4	26	2424	3	23	6649	3	34	2722	4	31	3224	3	44	3966	3	8	4049	4	19	5364	2	17	8500	4	10	4657	3	16	3148	3	22	8868	3	47	6357	4	2	10105	2	27	26976	4	13	2532	2	53	15109	3	9	6532	1	25	5076	1	48	5392	3	7	7655	3	28	16023	3	35	31831	2	11	18031	4	30	10374	3	45	5830	2	6	4342	3	40	20564	3	4	12943	3	12	11449	4	46	3200	2	24	8560	4	18	3058	3	54	2627	3	41	15430	2	39	12072	3	42	13748	3	36	8742	3	14	14136	2	20	45772	4	33	2937	4	3	4264	4	49	5733	3	50	5064	3	52	5466	4	55	3082	4	1	8023	4	43	2151	3	51	5615	4	29	10041	4	37	1968	4	15	7307	4	32	3955	4	56	1589	1	62	6462	1	58	27413	2	60	5499	2	59	9416	2	61	6338	2	57	5717	AU	15	557	242	1	1	7	1	6	6	7	2	7	2	5	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	1	2	1	26	1	12	2	6	2	1	2	Mental Health	2	0	0	0	0	0	3	2	0
4	4	3685	3	1	8878	4	32	4501	3	29	4295	1	45	2467	3	26	2531	3	46	3168	2	30	2259	2	55	2347	4	41	3266	3	31	4958	3	15	2642	1	25	2334	3	14	5066	3	19	8515	3	49	564	2	35	6398	2	53	3471	2	6	2682	3	51	3331	3	22	4921	3	10	3049	4	12	4101	2	27	4595	1	20	2382	3	21	5443	4	8	4150	2	37	4762	2	42	3081	3	7	2057	3	16	5268	3	39	3537	3	13	2749	3	24	5399	4	9	2309	3	44	2478	4	17	3049	2	23	4919	3	54	4120	4	18	4770	3	48	3540	4	56	4636	2	47	16214	1	34	4104	2	52	3284	3	2	15453	2	3	7991	1	36	3037	3	11	4491	1	33	2631	2	5	3242	2	28	3576	3	43	4454	3	40	3869	3	38	7046	1	50	2620	1	62	5096	2	60	4193	2	58	12067	1	61	9070	2	57	10884	1	59	3757	CA	5	290	275	1	1	1	5	6	6	6	5	3	2	6	2	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	3	3	2	2	27	1	1	1	7	1	1	1	Advertising 	2	2	0	0	0	3	3	1	0
2	50	5278	3	22	3989	2	8	5051	2	24	4509	2	16	2942	2	32	2549	3	10	8305	2	48	6307	3	40	5225	4	31	8578	4	19	3813	3	6	3598	2	1	11424	3	44	6765	4	55	3652	3	26	9070	3	47	4511	4	28	2799	3	38	8662	2	12	3638	1	13	3454	3	30	10558	1	9	5165	3	45	3941	3	2	5280	3	34	5807	2	23	8126	3	20	6439	2	18	3953	3	42	2717	3	27	6906	3	21	5355	4	51	4182	1	43	7917	2	46	3115	4	25	3831	4	3	3982	3	14	64234	2	37	4061	3	11	8032	3	15	2678	3	54	7989	4	56	3448	4	41	2994	1	35	8396	3	53	3326	2	5	3844	2	36	4578	2	33	4556	4	52	2769	1	29	5848	2	4	3772	2	17	4990	4	49	4789	3	39	5697	4	7	2207	1	58	4411	2	57	9851	2	60	8967	1	61	4558	1	62	8002	2	59	7244	IT	114	394	264	1	1	6	5	7	7	7	3	6	1	2	3	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	2	2	2	2	23	1	2	2	6	2	1	2	Psychology	2	0	0	0	0	0	3	2	0
1	30	12199	1	48	1775	1	43	3606	4	44	2240	1	21	1992	2	23	2160	2	33	1792	1	15	1661	1	46	2616	1	7	1857	1	8	3335	4	41	2375	1	36	1503	4	5	3335	2	2	2229	3	22	5127	4	24	4639	3	38	2567	4	54	2840	4	32	3125	2	17	4887	3	34	2153	1	11	2185	4	25	2177	3	4	2656	4	53	2651	2	1	3510	2	16	3585	2	40	1873	2	52	2604	4	50	2712	3	56	2232	3	12	2207	2	39	2120	3	9	1775	2	26	2119	1	42	4785	1	27	4296	2	31	3402	1	13	3824	1	47	1751	2	18	6912	1	49	6687	4	20	3239	2	28	3417	4	45	1903	4	35	2271	3	10	3166	4	6	5343	1	55	2296	3	29	2720	2	3	2984	4	14	1480	4	51	2672	1	19	4800	1	37	1432	2	62	2415	2	57	3555	2	61	8168	1	60	3504	1	59	3872	2	58	3430	SK	308	199	102	1	2	1	3	3	7	1	6	2	4	2	4	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	2	1	2	17	1	4	1	6	2	1	1		0	0	0	0	0	0	0	0	0
